# Wordlist

# DATA
ID	DOCULECT	CLUSTERFORMAT	CLUSTERID	CONCEPT	IPA	METAGLOSS	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS	CONCEPTID	CONCEPT_VARIANTS	FORM_VARIANTS	HOMOPHONES	ID_BACK	CHECK	COGID
9	Burmese_ZMYYC	5 0 7	4	all	a³luṁ³	all	a ³ + l u ṁ ³	?	?	all 2	a³ luṁ³  | 999.39	Burmese (Written) ZMYYC	5 7	VTCVcT	a ³ ◦ l u ṁ ³	1				9	-	570
6	Lashi	2 3 0	1	all	pan³¹ʃɔ̱ʔ⁵⁵	all	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵	?	?	all 1	pan³¹ ʃɔ̱ʔ⁵⁵  | 0962.33  | 0963.33	Leqi (Luxi) TBL	2 3	CVcTCVcT	p a n ³¹ ◦ ʃ ɔ̱ ʔ ⁵⁵	1				6	-	138
5	Maru	2 3 0	1	all	pəŋ³¹ʃɔʔ⁵⁵	all	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	?	?	all 1	pəŋ³¹ ʃɔʔ⁵⁵   | 0962.31 | 0963.31	Langsu (Luxi) TBL	2 3	CVcTCVcT	p ə ŋ ³¹ ◦ ʃ ɔ ʔ ⁵⁵	1				5	-	138
12	Maru_B	0 3 0	1	all	lɔ̱̃⁵⁵	all	l ɔ̱̃ ⁵⁵	?	?	all 3	lɔ̱̃⁵⁵  | 999.43	Maru [Langsu] ZMYYC	3	CVVT	l ɔ̱̃ ∼ ⁵⁵	1				12	-	138
13	Xiandao	9	5	all	chot⁵⁵	all	c h o t ⁵⁵	?	?	all 4	chot⁵⁵  | 0962.29 | 0963.29	Achang (Xiandao) TBL	9	CVcT	ch o t ⁵⁵	1				13	-	707
#
46	Achang_Lianghe	1	8	bad	kɑŋ³¹	bad	k ɑ ŋ ³¹	?	?	bad	kɑŋ³¹  | 158.39	Achang (Lianghe) JZ-Achang	1	CVcT	k ɑ ŋ ³¹	2				46	-	1110
47	Achang_Longchuan	0 2	9	bad	tɕa⁵⁵	bad	tɕ a ⁵⁵	?	?	bad	tɕa⁵⁵  | 1053.28	Achang (Longchuan) TBL	2	CVT	tɕ a ⁵⁵	2				47	-	1128
48	Achang_Luxi	1	8	bad	kaŋ⁵¹	bad	k a ŋ ⁵¹	?	?	bad	kaŋ⁵¹  | 304.2	Achang (Luxi) JZ-Achang	1	CVcT	k a ŋ ⁵¹	2				48	-	1110
50	Atsi	4	10	bad	then²¹	bad	tʰ e n ²¹	?	?	bad	then²¹  | 1053.30	Atsi [Zaiwa] TBL	4	CVcT	th e n ²¹	2				50	-	17
51	Bola	5 6	11	bad	a³¹kai⁵⁵	bad	a ³¹ + k a i ⁵⁵	?	?	bad	a³¹ kai⁵⁵  | 1053.32	Bola (Luxi) TBL	5 6	VTCVT	a ³¹ ◦ k ai ⁵⁵	2				51	-	32
52	Burmese_ZMYYC	7	12	bad	cho³	bad	c h o ³	?	?	bad	cho³  | 861.39	Burmese (Written) ZMYYC	7	CVT	ch o ³	2				52	-	43
55	Hpun	1	8	bad	măkɔ̀ŋ	bad	?	?	?	bad (= 'not good')	măkɔ̀ŋ  | 0217.23	Hpun (Northern) EJAH-Hpun	1	CVCVc	m ă ◦ k ɔ̀ ŋ	2				55	-	1110
54	Lashi	9	13	bad	pjɔːʔ³¹	bad	p j ɔː ʔ ³¹	?	?	bad	pjɔːʔ³¹  | 1053.33	Leqi (Luxi) TBL	9	CCVcT	p j ɔː ʔ ³¹	2			bad // to collapse	54	-	55
53	Maru	8	14	bad	kɔi³⁵	bad	k ɔ i ³⁵	?	?	bad	kɔi³⁵  | 1053.31	Langsu (Luxi) TBL	8	CVT	k ɔi ³⁵	2				53	-	66
49	Xiandao	3 2	9	bad	n³¹cɛ⁵⁵	bad	n ³¹ + c ɛ ⁵⁵	?	?	bad	n³¹ cɛ⁵⁵  | 1053.29	Achang (Xiandao) TBL	3 2	CTCVT	n ³¹ c ɛ ⁵⁵	2				49	-	1128
#
577	Achang_Longchuan	1	105	be on the other side	xuaŋ³¹	other	x u a ŋ ³¹	?	?	be on the other side (of a riv v.	xuaŋ³¹  | 1343.28	Achang (Longchuan) TBL	1	CVcT	x ua ŋ ³¹	3				577	-	10
579	Atsi	2	104	be on the other side	kjo̱⁵¹	other	k j o̱ ⁵¹	?	?	be on the other side (of a riv v.	kjo̱⁵¹  | 1343.30	Atsi [Zaiwa] TBL	2	CCVT	k j o̱ ⁵¹	3				579	-	9
580	Bola	2	104	be on the other side	kja̱⁵⁵	other	k j a̱ ⁵⁵	?	?	be on the other side (of a riv v.	kja̱⁵⁵  | 1343.32	Bola (Luxi) TBL	2	CCVT	k j a̱ ⁵⁵	3				580	-	9
582	Lashi	2	104	be on the other side	kjɔ̱ː³³	other	k j ɔ̱ː ³³	?	?	be on the other side (of a riv v.	kjɔ̱ː³³  | 1343.33	Leqi (Luxi) TBL	2	CCVT	k j ɔ̱ː ³³	3				582	-	9
581	Maru	2	104	be on the other side	kjɔ̱³¹	other	k j ɔ̱ ³¹	?	?	be on the other side (of a riv v.	kjɔ̱³¹  | 1343.31	Langsu (Luxi) TBL	2	CCVT	k j ɔ̱ ³¹	3				581	-	9
578	Xiandao	1	105	be on the other side	xɔŋ³¹	other	x ɔ ŋ ³¹	?	?	be on the other side (of a riv v.	xɔŋ³¹  | 1343.29	Achang (Xiandao) TBL	1	CVcT	x ɔ ŋ ³¹	3				578	-	10
#
56	Achang_Lianghe	1 0 0	15	big	kɯ³¹	big	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Lianghe) JZ-Achang	1	CVT	k ɯ ³¹	4			big // thick (diameter)	56	-	80
57	Achang_Longchuan	1 0 0	15	big	kʐə³¹	big	kʐ ə ³¹	?	?	big	kʐə³¹  | 0964.28	Achang (Longchuan) TBL	1	CCVT	k ʐ ə ³¹	4			big // wide	57	-	80
58	Achang_Luxi	1 0 0	15	big	kɯ⁵¹	big	k ɯ ⁵¹	?	?	big	kɯ⁵¹  | 163	Achang (Luxi) JZ-Achang	1	CVT	k ɯ ⁵¹	4				58	-	80
60	Atsi	1 0 0	15	big	ko̱²¹	big	k o̱ ²¹	?	?	big	ko̱²¹  | 0964.30	Atsi [Zaiwa] TBL	1	CVT	k o̱ ²¹	4			big // wide	60	-	80
61	Bola	1 0 0	15	big	kɔ̱³⁵	big	k ɔ̱ ³⁵	?	?	big	kɔ̱³⁵  | 0964.32	Bola (Luxi) TBL	1	CVT	k ɔ̱ ³⁵	4			big // wide	61	-	80
62	Burmese_ZMYYC	1 0 0	15	big	krīḥ	big	k r i ³	?	krīḥ	big	kri³  | 800.39	Burmese (Written) ZMYYC	1	CCVT	k r ī ḥ	4				62	-	80
63	Hpun	1 0 0	15	big	chèʼ	big	c h èʼ	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CVc	ch è ʔ	4		chèʼ // chì // chè-ŋ		63	-	80
67	Lashi	1 0 0	15	big	kjiː³³	big	k j iː ³³	?	?	big	kjiː³³  | 0964.33	Leqi (Luxi) TBL	1	CCVT	k j iː ³³	4			big // wide	67	-	80
66	Maru	1 0 0	15	big	ɣə³⁵	big	ɣ ə ³⁵	?	?	big	ɣə³⁵  | 0964.31	Langsu (Luxi) TBL	1	CVT	ɣ ə ³⁵	4			big // wide	66	-	80
68	Maru_D	1 0 0	15	big	yī	big	y ī	?	?	big	yī  | 240	Maru [Langsu] JO-PB	1	CV	y ī	4				68	-	80
59	Xiandao	1 0 0	15	big	kɯ³¹	big	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Xiandao) TBL	1	CVT	k ɯ ³¹	4			big // wide	59	-	80
#
70	Achang_Lianghe	1	16	bitter	khɑ³¹	bitter	kʰ ɑ ³¹	?	?	bitter	khɑ³¹  | 0476.26	Achang (Lianghe) JZ-Achang	1	CVT	kh ɑ ³¹	5				70	-	97
71	Achang_Longchuan	1	16	bitter	xɔ³¹	bitter	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.28	Achang (Longchuan) TBL	1	CVT	x ɔ ³¹	5				71	-	97
72	Achang_Luxi	1	16	bitter	kha⁵⁵	bitter	kʰ a ⁵⁵	?	?	bitter	kha⁵⁵  | 688.29	Achang (Luxi) JZ-Achang	1	CVT	kh a ⁵⁵	5				72	-	97
74	Atsi	1	16	bitter	kho²¹	bitter	kʰ o ²¹	?	?	bitter	kho²¹  | 1074.30	Atsi [Zaiwa] TBL	1	CVT	kh o ²¹	5				74	-	97
75	Bola	1	16	bitter	kha³⁵	bitter	kʰ a ³⁵	?	?	bitter	kha³⁵  | 1074.32	Bola (Luxi) TBL	1	CVT	kh a ³⁵	5				75	-	97
76	Burmese_ZMYYC	1	16	bitter	khāḥ	bitter	kʰ ā ḥ	?	khāḥ	bitter	khāḥ	Burmese (Written) ZMYYC	1	CVT	kh ā ḥ	5				76	-	97
77	Hpun	1	16	bitter	khà	bitter	kʰ à	?	?	bitter	khà, khà-ŋ  | 311	Hpun (Northern) EJAH-Hpun	1	CV	kh à	5		khà // khà-ŋ		77	-	97
80	Lashi	1	16	bitter	khɔː⁵⁵	bitter	kʰ ɔː ⁵⁵	?	?	bitter	khɔː⁵⁵  | 1074.33	Leqi (Luxi) TBL	1	CVT	kh ɔː ⁵⁵	5				80	-	97
79	Maru	1	16	bitter	khɔ³⁵	bitter	kʰ ɔ ³⁵	?	?	bitter	khɔ³⁵  | 1074.31	Langsu (Luxi) TBL	1	CVT	kh ɔ ³⁵	5				79	-	97
73	Xiandao	1	16	bitter	xɔ³¹	bitter	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.29	Achang (Xiandao) TBL	1	CVT	x ɔ ³¹	5				73	-	97
#
81	Achang_Lianghe	1 0 2	17	black	ɑ³¹nɑ³¹	black	ɑ ³¹ + n ɑ ³¹	?	?	black	ɑ³¹ nɑ³¹  | 1147.20	Achang (Lianghe) JZ-Achang	1 2	VTCVT	ɑ ³¹ ◦ n ɑ ³¹	6				81	-	112
82	Achang_Longchuan	4	18	black	lɔk⁵⁵	black	l ɔ k ⁵⁵	?	?	black	lɔk⁵⁵  | 1005.28	Achang (Longchuan) TBL	4	CVcT	l ɔ k ⁵⁵	6				82	-	126
83	Achang_Luxi	0 0 2	17	black	na⁵¹	black	n a ⁵¹	?	?	black	na⁵¹  | 0124.41	Achang (Luxi) JZ-Achang	2	CVT	n a ⁵¹	6				83	-	112
85	Atsi	0 0 2	17	black	noʔ²¹	black	n o ʔ ²¹	?	?	black	noʔ²¹  | 1005.30	Atsi [Zaiwa] TBL	2	CVcT	n o ʔ ²¹	6				85	-	112
86	Bola	0 0 2	17	black	naʔ³¹	black	n a ʔ ³¹	?	?	black	naʔ³¹  | 1005.32	Bola (Luxi) TBL	2	CVcT	n a ʔ ³¹	6				86	-	112
87	Burmese_ZMYYC	0 0 2	17	black	nak	black	n a k	?	nak	black	nak	Burmese (Written) ZMYYC	2	CVc	n a k	6				87	-	112
88	Hpun	0 3 2	17	black	kănᴜ̀ʔ	black	k ă + n ᴜ̀ ʔ	?	?	black	kănᴜ̀ʔ  | 789.41	Hpun (Northern) EJAH-Hpun	3 2	CVCVc	k ă ◦ n ᴜ̀ ʔ	6				88	-	112
90	Lashi	0 0 2	17	black	nɔːʔ³¹	black	n ɔː ʔ ³¹	?	?	black	nɔːʔ³¹  | 1005.33	Leqi (Luxi) TBL	2	CVcT	n ɔː ʔ ³¹	6				90	-	112
89	Maru	0 0 2	17	black	nɔʔ³¹	black	n ɔ ʔ ³¹	?	?	black	nɔʔ³¹  | 1005.31	Langsu (Luxi) TBL	2	CVcT	n ɔ ʔ ³¹	6				89	-	112
84	Xiandao	0 0 2	17	black	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	?	?	black	nɔʔ⁵⁵  | 1005.29	Achang (Xiandao) TBL	2	CVcT	n ɔ ʔ ⁵⁵	6				84	-	112
#
91	Achang_Lianghe	1 2	20	blunt	n³¹thɑ³¹	blunt	n ³¹ + tʰ ɑ ³¹	?	?	blunt / dull	n³¹ thɑ³¹  | 1388.19	Achang (Lianghe) JZ-Achang	1 2	CTCVT	n ³¹ ◦ th ɑ ³¹	7				91	-	158
92	Achang_Longchuan	3	19	blunt	təm³⁵	blunt	t ə m ³⁵	?	?	blunt / dull	təm³⁵  | 1021.28	Achang (Longchuan) TBL	3	CVcT	t ə m ³⁵	7				92	-	137
93	Achang_Luxi	3	19	blunt	tɔp³¹	blunt	t ɔ p ³¹	?	?	blunt / dull	tɔp³¹  | 1278.28	Achang (Luxi) JZ-Achang	3	CVcT	t ɔ p ³¹	7				93	-	137
95	Atsi	3	19	blunt	tum²¹	blunt	t u m ²¹	?	?	blunt / dull	tum²¹  | 1021.30	Atsi [Zaiwa] TBL	3	CVcT	t u m ²¹	7				95	-	137
96	Bola	1 2	20	blunt	a³¹thaʔ⁵⁵	blunt	a ³¹ + tʰ a ʔ ⁵⁵	?	?	blunt / dull	a³¹ thaʔ⁵⁵  | 1021.32	Bola (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th a ʔ ⁵⁵	7				96	-	158
97	Burmese_ZMYYC	3	19	blunt	tuṁ³	blunt	t u ṁ ³	?	?	blunt / dull	tuṁ³  | 871.39	Burmese (Written) ZMYYC	3	CVcT	t u ṁ ³	7				97	-	137
99	Lashi	1 2	20	blunt	a³¹thɔʔ⁵⁵	blunt	a ³¹ + tʰ ɔ ʔ ⁵⁵	?	?	blunt / dull	a³¹ thɔʔ⁵⁵  | 1021.33	Leqi (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th ɔ ʔ ⁵⁵	7				99	-	158
98	Maru	3	19	blunt	tam³⁵	blunt	t a m ³⁵	?	?	blunt / dull	tam³⁵  | 1021.31	Langsu (Luxi) TBL	3	CVcT	t a m ³⁵	7				98	-	137
94	Xiandao	3	19	blunt	tum³¹	blunt	t u m ³¹	?	?	blunt / dull	tum³¹  | 1021.29	Achang (Xiandao) TBL	3	CVcT	t u m ³¹	7				94	-	137
#
2697	Achang_Longchuan	0 0 1 2 0	448	boiled water	ti⁵⁵su⁵⁵	the water	t i ⁵⁵ + s u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ su⁵⁵  | 0453.28	Achang (Longchuan) TBL	1 2	CVTCVT	t i ⁵⁵ ◦ s u ⁵⁵	8				2697	-	486
2699	Atsi	4 0 0 0 3	448	boiled water	vui⁵¹pu⁵¹	the water	v u i ⁵¹ + p u ⁵¹	?	?	water (boiled) n	vui⁵¹ pu⁵¹  | 0453.30	Atsi [Zaiwa] TBL	4 3	CVTCVT	v ui ⁵¹ ◦ p u ⁵¹	8				2699	-	486
2700	Bola	4 5 0 0 0	448	boiled water	ɣəi⁵⁵lauŋ⁵⁵	the water	ɣ ə i ⁵⁵ + l a u ŋ ⁵⁵	?	?	water (boiled) n	ɣəi⁵⁵ lauŋ⁵⁵  | 0453.32	Bola (Luxi) TBL	4 5	CVTCVcT	ɣ əi ⁵⁵ ◦ l au ŋ ⁵⁵	8				2700	-	486
2702	Lashi	4 5 0 0 0	448	boiled water	kjei³¹luŋ³¹	the water	k j e i ³¹ + l u ŋ ³¹	?	?	water (boiled) n	kjei³¹ luŋ³¹  | 0453.33	Leqi (Luxi) TBL	4 5	CCVTCVcT	k j ei ³¹ ◦ l u ŋ ³¹	8				2702	-	486
2701	Maru	4 5 0 0 0	448	boiled water	ɣək³¹lauŋ³¹	the water	ɣ ə k ³¹ + l a u ŋ ³¹	?	?	water (boiled) n	ɣək³¹ lauŋ³¹  | 0453.31	Langsu (Luxi) TBL	4 5	CVcTCVcT	ɣ ə k ³¹ ◦ l au ŋ ³¹	8				2701	-	486
2698	Xiandao	0 0 1 0 3	448	boiled water	ti⁵⁵pu⁵⁵	the water	t i ⁵⁵ + p u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ pu⁵⁵  | 0453.29	Achang (Xiandao) TBL	1 3	CVTCVT	t i ⁵⁵ ◦ p u ⁵⁵	8				2698	-	486
#
1521	Achang_Longchuan	1 0 0 2	260	burn the grass	ʐa⁵⁵ŋ̊eʔ⁵⁵	the grass	ʐ a ⁵⁵ + ŋ̊ e ʔ ⁵⁵	?	?	burn the grass on wasteland v.	ʐa⁵⁵ ŋ̊eʔ⁵⁵  | 1610.28	Achang (Longchuan) TBL	1 2	CVTCVcT	ʐ a ⁵⁵ ◦ ŋ̊ e ʔ ⁵⁵	9				1521	-	228
1523	Atsi	0 3 4 2	260	burn the grass	mup²¹jo⁵¹ŋje̱⁵⁵	the grass	m u p ²¹ + j o ⁵¹ + ŋ j e̱ ⁵⁵	?	?	burn the grass on wasteland v.	mup²¹ jo⁵¹ ŋje̱⁵⁵  | 1610.30	Atsi [Zaiwa] TBL	3 4 2	CVcTCVTCCVT	m u p ²¹ ◦ j o ⁵¹ ◦ ŋ j e̱ ⁵⁵	9				1523	-	228
1524	Bola	0 0 0 2	260	burn the grass	ŋjɛ³⁵	the grass	ŋ j ɛ ³⁵	?	?	burn the grass on wasteland v.	ŋjɛ³⁵  | 1610.32	Bola (Luxi) TBL	2	CCVT	ŋ j ɛ ³⁵	9				1524	-	228
1526	Lashi	0 0 4 2	260	burn the grass	jo³¹ŋɛː⁵³	the grass	j o ³¹ + ŋ ɛː ⁵³	?	?	burn the grass on wasteland v.	jo³¹ ŋɛː⁵³  | 1610.33	Leqi (Luxi) TBL	4 2	CVTCVT	j o ³¹ ◦ ŋ ɛː ⁵³	9				1526	-	228
1525	Maru	5	261	burn the grass	mi³⁵ŋa̱⁵⁵	the grass	?	?	?	burn the grass on wasteland v.	mi³⁵ ŋa̱⁵⁵  | 1610.31	Langsu (Luxi) TBL	5	CVTCVT	m i ³⁵ ◦ ŋ a̱ ⁵⁵	9				1525	-	230
1522	Xiandao	0 0 0 2	260	burn the grass	n̥ɛ³⁵	the grass	n̥ ɛ ³⁵	?	?	burn the grass on wasteland v.	n̥ɛ³⁵  | 1610.29	Achang (Xiandao) TBL	2	CVT	n̥ ɛ ³⁵	9				1522	-	228
#
100	Achang_Lianghe	1	22	cold	tʂhɑŋ³¹	cold	tʂʰ ɑ ŋ ³¹	?	?	cold (weather, water)	tʂhɑŋ³¹  | 1473.03	Achang (Lianghe) JZ-Achang	1	CVcT	tʂh ɑ ŋ ³¹	10				100	-	187
101	Achang_Longchuan	2	21	cold	kʐuat⁵⁵	cold	kʐ u a t ⁵⁵	?	?	cold (weather, water)	kʐuat⁵⁵  | 1063.28	Achang (Longchuan) TBL	2	CCVcT	k ʐ ua t ⁵⁵	10				101	-	170
102	Achang_Luxi	3	23	cold	tsiam⁵⁵	cold	ts i a m ⁵⁵	?	?	cold (weather, water)	tsiam⁵⁵  | 460.9	Achang (Luxi) JZ-Achang	3	CVcT	ts ia m ⁵⁵	10				102	-	204
104	Atsi	2	21	cold	kjoʔ²¹	cold	k j o ʔ ²¹	?	?	cold (weather, water)	kjoʔ²¹  | 1063.30	Atsi [Zaiwa] TBL	2	CCVcT	k j o ʔ ²¹	10			cold // the snow	104	-	170
105	Bola	2	21	cold	kjaʔ³¹	cold	k j a ʔ ³¹	?	?	cold (weather, water)	kjaʔ³¹  | 1063.32	Bola (Luxi) TBL	2	CCVcT	k j a ʔ ³¹	10				105	-	170
107	Lashi	4	24	cold	ŋaːm⁵⁵	cold	ŋ aː m ⁵⁵	?	?	cold (weather, water)	ŋaːm⁵⁵  | 1063.33	Leqi (Luxi) TBL	4	CVcT	ŋ aː m ⁵⁵	10				107	-	215
106	Maru	2	21	cold	kjɔʔ³¹	cold	k j ɔ ʔ ³¹	?	?	cold (weather, water)	kjɔʔ³¹  | 1063.31	Langsu (Luxi) TBL	2	CCVcT	k j ɔ ʔ ³¹	10			cold // ten cents (classifier)	106	-	170
103	Xiandao	2	21	cold	kʐot⁵⁵	cold	kʐ o t ⁵⁵	?	?	cold (weather, water)	kʐot⁵⁵  | 1063.29	Achang (Xiandao) TBL	2	CCVcT	k ʐ o t ⁵⁵	10				103	-	170
#
108	Achang_Lianghe	1 2	28	dirty	lɑ³¹thɑ⁵⁵	dirty	l ɑ ³¹ + tʰ ɑ ⁵⁵	?	?	dirty	lɑ³¹ thɑ⁵⁵  | 464.27	Achang (Lianghe) JZ-Achang	1 2	CVTCVT	l ɑ ³¹ ◦ th ɑ ⁵⁵	11				108	-	277
109	Achang_Longchuan	3	26	dirty	ək³⁵	dirty	ə k ³⁵	?	?	dirty	ək³⁵  | 1086.28	Achang (Longchuan) TBL	3	VcT	ə k ³⁵	11				109	-	246
110	Achang_Luxi	0 4	25	dirty	tshaʔ⁵⁵	dirty	tsʰ a ʔ ⁵⁵	?	?	dirty	tshaʔ⁵⁵  | 606	Achang (Luxi) JZ-Achang	4	CVcT	tsh a ʔ ⁵⁵	11				110	-	227
112	Atsi	0 4	25	dirty	tʃhaʔ⁵⁵	dirty	tʃʰ a ʔ ⁵⁵	?	?	dirty	tʃhaʔ⁵⁵  | 1086.30	Atsi [Zaiwa] TBL	4	CVcT	tʃh a ʔ ⁵⁵	11				112	-	227
113	Atsi_B	5 4	25	dirty	kot²¹	dirty	k o t ²¹ + tʃʰ a ʔ ⁵⁵	?	?	dirty	kot²¹; tʃhaʔ⁵⁵  | 854.42	Atsi [Zaiwa] ZMYYC	5 4	CVcTCVcT	k o t ²¹	11		kot²¹ // tʃhaʔ⁵⁵		113	-	227
114	Bola	6	27	dirty	lu̱³⁵	dirty	l u̱ ³⁵	?	?	dirty	lu̱³⁵  | 1086.32	Bola (Luxi) TBL	6	CVT	l u̱ ³⁵	11				114	-	261
115	Burmese_ZMYYC	7 8	29	dirty	ñacpat	dirty	ȵ ɑ + s p ɑ t	?	?	dirty	ȵɑs pɑt  | 854.39	Burmese (Written) ZMYYC	7 8	CVcCVc	ñ a c ◦ p a t	11				115	-	288
117	Lashi	9 10	30	dirty	a³¹san⁵⁵	dirty	a ³¹ + s a n ⁵⁵	?	?	dirty	a³¹ san⁵⁵  | 1086.33	Leqi (Luxi) TBL	9 10	VTCVcT	a ³¹ ◦ s a n ⁵⁵	11				117	-	303
116	Maru	6	27	dirty	la̱u³⁵	dirty	l a̱ u ³⁵	?	?	dirty	la̱u³⁵  | 1086.31	Langsu (Luxi) TBL	6	CVT	l a̱u ³⁵	11				116	-	261
111	Xiandao	3	26	dirty	ɤk³⁵	dirty	ɤ k ³⁵	?	?	dirty	ɤk³⁵  | 1086.29	Achang (Xiandao) TBL	3	VcT	ɤ k ³⁵	11				111	-	246
#
491	Achang_Longchuan	1 2 0	95	do not have	mă⁵¹pɔ⁵⁵	not	m ă ⁵¹ + p ɔ ⁵⁵	?	?	have, do not v.	mă⁵¹ pɔ⁵⁵  | 1519.28	Achang (Longchuan) TBL	1 2	CVTCVT	m ă ⁵¹ ◦ p ɔ ⁵⁵	12				491	-	1116
493	Atsi	1 0 3	95	do not have	ă²¹vo⁵⁵	not	ă ²¹ + v o ⁵⁵	?	?	have, do not v.	ă²¹ vo⁵⁵  | 1519.30	Atsi [Zaiwa] TBL	1 3	VTCVT	ă ²¹ ◦ v o ⁵⁵	12				493	-	1116
494	Bola	1 0 3	95	do not have	a³¹ɣa³⁵	not	a ³¹ + ɣ a ³⁵	?	?	have, do not v.	a³¹ ɣa³⁵  | 1519.32	Bola (Luxi) TBL	1 3	VTCVT	a ³¹ ◦ ɣ a ³⁵	12				494	-	1116
496	Lashi	1 0 3	95	do not have	a³¹ju⁵⁵	not	a ³¹ + j u ⁵⁵	?	?	have, do not v.	a³¹ ju⁵⁵  | 1519.33	Leqi (Luxi) TBL	1 3	VTCVT	a ³¹ ◦ j u ⁵⁵	12				496	-	1116
495	Maru	1 0 3	95	do not have	mə̆³¹ɣɔ⁵⁵	not	m ə̆ ³¹ + ɣ ɔ ⁵⁵	?	?	have, do not v.	mə̆³¹ ɣɔ⁵⁵  | 1519.31	Langsu (Luxi) TBL	1 3	CVTCVT	m ə̆ ³¹ ◦ ɣ ɔ ⁵⁵	12				495	-	1116
