# EDICTOR
@modified: 2016-02-15 15:48
#
ID	ORIGINAL_TAXNAME	TOKENS	DOCULECT	CONCEPT	POS	STEDT_SRCID	COGID	STEDT_RN	STEDT_REFLEX	CONCEPT_ID	NOTE	SOURCE	STEDT_CONCEPT	IPA	ORIGINAL_ENTRY	ORIGINAL_CONCEPT
5808		ȵ ɑ ṁ ¹	Written_Burmese	bad	other	1053.26	1130	399230	ȵɑṁ¹	1053		TBL	bad	ȵɑṁ¹		
#
141	Achang (Longchuan) TBL	o ³¹	Achang_Longchuan	the bamboo	noun	0389.28	101	364937	o³¹	0389		TBL	bamboo	o³¹	o³¹  | 0389.28	bamboo
143	Atsi [Zaiwa] TBL	v a ²¹	Atsi	the bamboo	noun	0389.30	101	364939	va²¹	0389		TBL	bamboo	va²¹	va²¹  | 0389.30	bamboo
144	Bola (Luxi) TBL	v a ³¹	Bola	the bamboo	noun	0389.32	101	364941	va³¹	0389		TBL	bamboo	va³¹	va³¹  | 0389.32	bamboo
147	Leqi (Luxi) TBL	w o ³³	Lashi	the bamboo	noun	0389.33	101	364942	wo³³	0389		TBL	bamboo	wo³³	wo³³  | 0389.33	bamboo
148	Langsu (Luxi) TBL	v ɔ ³⁵	Maru	the bamboo	noun	0389.31	101	364940	vɔ³⁵	0389		TBL	bamboo	vɔ³⁵	vɔ³⁵  | 0389.31	bamboo
149	Achang (Xiandao) TBL	o ³¹	Xiandao	the bamboo	noun	0389.29	101	364938	o³¹	0389		TBL	bamboo	o³¹	o³¹  | 0389.29	bamboo
150	Burmese (Written) ZMYYC	v ā ḥ	Old_Burmese	the bamboo	noun	?	101	?		?		HILL/ZMYYC	bamboo	vāḥ	vāḥ | ?	bamboo
5518		w ɑ ⁵⁵	Rangoon	the bamboo	noun	0389.27	101	364936	wɑ⁵⁵	0389		TBL	bamboo	wɑ⁵⁵		
5956		w ɑ ³	Written_Burmese	the bamboo	noun	0389.26	101	364935	wɑ³	0389		TBL	bamboo	wɑ³		
#
299	Bola (Luxi) TBL	v ɛ ³¹ ◦ t a u ³¹	Bola	the belly	noun	0096.32	131	349955	vɛ³¹tau³¹	0096		TBL	belly	vɛ³¹tau³¹	vɛ³¹ tau³¹  | 0096.32	belly
302	Langsu (Luxi) TBL	v ẽ ³⁵ ◦ t u k ³¹	Maru	the belly	noun	0096.31	131	349954	vẽ³⁵tuk³¹	0096		TBL	belly	vẽ³⁵tuk³¹	vẽ³⁵ tuk³¹  | 0096.31	belly
305	Burmese (Written) ZMYYC	p o₂ k	Old_Burmese	the belly	noun	?	1133	?		?		HILL/ZMYYC	belly	po₂k	po₂k | ?	belly
5652		b ɑ i ʔ ⁴	Rangoon	the belly	noun	0096.27	1133	349950	bɑiʔ⁴	0096		TBL	belly	bɑiʔ⁴		
6087		b o k ⁴	Written_Burmese	the belly	noun	0096.26	1133	349949	bok⁴	0096		TBL	belly	bok⁴		
#
310	Achang (Longchuan) TBL	k ʐ ə ³¹	Achang_Longchuan	big	other	0964.28	79	394664	kʐə³¹	0964		TBL	big / large	kʐə³¹	kʐə³¹  | 0964.28	big
312	Atsi [Zaiwa] TBL	k o̱ ²¹	Atsi	big	other	0964.30	79	394666	ko̱²¹	0964		TBL	big / large	ko̱²¹	ko̱²¹  | 0964.30	big
313	Bola (Luxi) TBL	k ɔ̱ ³⁵	Bola	big	other	0964.32	79	394668	kɔ̱³⁵	0964		TBL	big / large	kɔ̱³⁵	kɔ̱³⁵  | 0964.32	big
316	Leqi (Luxi) TBL	k j iː ³³	Lashi	big	other	0964.33	79	394669	kjiː³³	0964		TBL	big / large	kjiː³³	kjiː³³  | 0964.33	big
317	Langsu (Luxi) TBL	ɣ ə ³⁵	Maru	big	other	0964.31	79	394667	ɣə³⁵	0964		TBL	big / large	ɣə³⁵	ɣə³⁵  | 0964.31	big
319	Achang (Xiandao) TBL	k ɯ ³¹	Xiandao	big	other	0964.29	79	394665	kɯ³¹	0964		TBL	big / large	kɯ³¹	kɯ³¹  | 0964.29	big
320	Burmese (Written) ZMYYC	k r ī ḥ	Old_Burmese	big	other	?	79	?		?		HILL/ZMYYC	big	krīḥ	krīḥ | ?	big
5671		ʨ i ⁵⁵	Rangoon	big	other	0964.27	79	394663	tɕi⁵⁵	0964		TBL	big / large	ʨi⁵⁵		
6106		k r i ³	Written_Burmese	big	other	0964.26	79	394662	kri³	0964		TBL	big / large	kri³		
#
325	Achang (Longchuan) TBL	m̥ ɔ ʔ ⁵⁵	Achang_Longchuan	the bird	noun	0326.28	133	361992	m̥ɔʔ⁵⁵	0326		TBL	bird	m̥ɔʔ⁵⁵	m̥ɔʔ⁵⁵  | 0326.28	bird
327	Atsi [Zaiwa] TBL	ŋ o̱ ʔ ⁵⁵	Atsi	the bird	noun	0326.30	133	361994	ŋo̱ʔ⁵⁵	0326		TBL	bird	ŋo̱ʔ⁵⁵	ŋo̱ʔ⁵⁵  | 0326.30	bird
328	Bola (Luxi) TBL	ŋ a̱ ʔ ⁵⁵	Bola	the bird	noun	0326.32	133	361996	ŋa̱ʔ⁵⁵	0326		TBL	bird	ŋa̱ʔ⁵⁵	ŋa̱ʔ⁵⁵  | 0326.32	bird
331	Leqi (Luxi) TBL	ŋ ɔ̱ ʔ ⁵⁵	Lashi	the bird	noun	0326.33	133	361997	ŋɔ̱ʔ⁵⁵	0326		TBL	bird	ŋɔ̱ʔ⁵⁵	ŋɔ̱ʔ⁵⁵  | 0326.33	bird
332	Langsu (Luxi) TBL	ŋ ɔ̱ ʔ ⁵⁵	Maru	the bird	noun	0326.31	133	361995	ŋɔ̱ʔ⁵⁵	0326		TBL	bird	ŋɔ̱ʔ⁵⁵	ŋɔ̱ʔ⁵⁵  | 0326.31	bird
334	Achang (Xiandao) TBL	ŋ̊ ɔ ʔ ⁵⁵	Xiandao	the bird	noun	0326.29	133	361993	ŋ̊ɔʔ⁵⁵	0326		TBL	bird	ŋ̊ɔʔ⁵⁵	ŋ̊ɔʔ⁵⁵  | 0326.29	bird
335	Burmese (Written) ZMYYC	ṅh a k	Old_Burmese	the bird	noun	?	133	?		?		HILL/ZMYYC	bird	ṅhak	ṅhak | ?	bird
5545		ŋ̊ ɛ ʔ ⁴	Rangoon	the bird	noun	0326.27	133	361991	ŋ̊ɛʔ⁴	0326		TBL	bird	ŋ̊ɛʔ⁴		
5982		hŋ ɑ k ⁴	Written_Burmese	the bird	noun	0326.26	133	361990	hŋɑk⁴	0326		TBL	bird	hŋɑk⁴		
#
343	Bola (Luxi) TBL	p ɛ̃ ∼ ³¹	Bola	to bite	verb	1753.32	594	431353	pɛ̃³¹	1753	bad concept	TBL	bite	pɛ̃³¹	pɛ̃³¹  | 1753.32	bite v.
345	Burmese (Written) ZMYYC	k o k	Burmese	to bite	verb	535.39	596	?		535		HILL/ZMYYC	bite	kok	kok  | 535.39	bite v.
348	Langsu (Luxi) TBL	p ə ŋ ³⁵	Maru	to bite	verb	1753.31	594	431352	pəŋ³⁵	1753	bad concept	TBL	bite	pəŋ³⁵	pəŋ³⁵  | 1753.31	bite v.
350	Leqi (Luxi) TBL	ŋ aː t ³¹	Lashi	to bite	verb	1753.33	595	431354	ŋaːt³¹	1753	bad concept	TBL	bite	ŋaːt³¹	ŋaːt³¹  | 1753.33	bite v.
352	Burmese (Written) ZMYYC	k o₂ k	Old_Burmese	to bite	verb	?	596	?		?		HILL/ZMYYC	bite v.	ko₂k	ko₂k | ?	bite v.
5246		k ɑ i ʔ ⁴	Rangoon	to bite	verb	1753.27	596	431348	kɑiʔ⁴	1753		TBL	bite	kɑiʔ⁴		
5688		k o k ⁴	Written_Burmese	to bite	verb	1753.26	596	431347	kok⁴	1753		TBL	bite	kok⁴		
#
367	Achang (Longchuan) TBL	l ɔ k ⁵⁵	Achang_Longchuan	black	other	1005.28	125	396805	lɔk⁵⁵	1005		TBL	black	lɔk⁵⁵	lɔk⁵⁵  | 1005.28	black
369	Atsi [Zaiwa] TBL	n o ʔ ²¹	Atsi	black	other	1005.30	111	396807	noʔ²¹	1005		TBL	black	noʔ²¹	noʔ²¹  | 1005.30	black
370	Bola (Luxi) TBL	n a ʔ ³¹	Bola	black	other	1005.32	111	396809	naʔ³¹	1005		TBL	black	naʔ³¹	naʔ³¹  | 1005.32	black
372	Hpun (Northern) EJAH-Hpun	k ă ◦ n ᴜ̀ ʔ	Hpun	black	other	789.41	111	?		789		EJAH-Hpun	black	kănᴜ̀ʔ	kănᴜ̀ʔ  | 789.41	black
373	Leqi (Luxi) TBL	n ɔː ʔ ³¹	Lashi	black	other	1005.33	111	396810	nɔːʔ³¹	1005		TBL	black	nɔːʔ³¹	nɔːʔ³¹  | 1005.33	black
374	Langsu (Luxi) TBL	n ɔ ʔ ³¹	Maru	black	other	1005.31	111	396808	nɔʔ³¹	1005		TBL	black	nɔʔ³¹	nɔʔ³¹  | 1005.31	black
375	Achang (Xiandao) TBL	n ɔ ʔ ⁵⁵	Xiandao	black	other	1005.29	111	396806	nɔʔ⁵⁵	1005		TBL	black	nɔʔ⁵⁵	nɔʔ⁵⁵  | 1005.29	black
376	Burmese (Written) ZMYYC	n a k	Old_Burmese	black	other	?	111	?		?		HILL/ZMYYC	black	nak	nak | ?	black
5528		n ɛ ʔ ⁴	Rangoon	black	other	1005.27	111	396804	nɛʔ⁴	1005		TBL	black	nɛʔ⁴		
5966		n ɑ k ⁴	Written_Burmese	black	other	1005.26	111	396803	nɑk⁴	1005		TBL	black	nɑk⁴		
#
383	Bola (Luxi) TBL	s u i ³⁵	Bola	the blood	noun	0129.32	1148	351653	sui³⁵	0129		TBL	blood	sui³⁵	sui³⁵  | 0129.32	blood
389	Langsu (Luxi) TBL	s a ³⁵	Maru	the blood	noun	0129.31	1148	351652	sa³⁵	0129		TBL	blood	sa³⁵	sa³⁵  | 0129.31	blood
391	Burmese (Written) ZMYYC	s u y ḥ	Old_Burmese	the blood	noun	1	1148	?		1		HILL/ZMYYC	blood	suyḥ	suyḥ | 1	blood
5597		tθ w e ⁵⁵	Rangoon	the blood	noun	0129.27	1148	351648	tθwe⁵⁵	0129		TBL	blood	tθwe⁵⁵		
6033		tθ w e ³	Written_Burmese	the blood	noun	0129.26	1148	351647	tθwe³	0129		TBL	blood	tθwe³		
#
404	Burmese (Written) ZMYYC	t o₂ k	Old_Burmese	to blow (of wind)	verb	?	1149	?		?		HILL/ZMYYC	blow (of wind)	to₂k	to₂k | ?	blow (of wind)
406	Achang (Longchuan) TBL	x ʐ a u ʔ ³⁵	Achang_Longchuan	to blow (of wind)	verb	1738.28	601	430649	xʐauʔ³⁵	1738		TBL	blow (one's nose)	xʐauʔ³⁵	xʐauʔ³⁵  | 1738.28	blow nose
407	Atsi [Zaiwa] TBL	kh j u i ²¹	Atsi	to blow (of wind)	verb	1738.30	601	430651	khjui²¹	1738		TBL	blow (one's nose)	khjui²¹	khjui²¹  | 1738.30	blow nose
408	Bola (Luxi) TBL	kh j u ³⁵	Bola	to blow (of wind)	verb	1738.32	601	430653	khju³⁵	1738		TBL	blow (one's nose)	khju³⁵	khju³⁵  | 1738.32	blow nose
409	Leqi (Luxi) TBL	kh j aː u ⁵³	Lashi	to blow (of wind)	verb	1738.33	601	430654	khjaːu⁵³	1738		TBL	blow (one's nose)	khjaːu⁵³	khjaːu⁵³  | 1738.33	blow nose
411	Langsu (Luxi) TBL	kh j u k ⁵⁵	Maru	to blow (of wind)	verb	1738.31	601	430652	khjuk⁵⁵	1738		TBL	blow (one's nose)	khjuk⁵⁵	khjuk⁵⁵  | 1738.31	blow nose
5500		n̥ ɑ ʔ ⁴ ◦ ȵ i ʔ ⁴	Rangoon	to blow (of wind)	verb	1738.27	1134	430648	n̥ɑʔ⁴ȵiʔ⁴	1738		TBL	blow (one's nose)	n̥ɑʔ⁴ȵiʔ⁴		
5923		t o k ⁴	Written_Burmese	to blow (of wind)	verb	1353.26	1149	412818	tok⁴	1353		TBL	blow (wind)	tok⁴		
5938		hn ɑ p ⁴ ◦ hȵ ɑ s ⁴	Written_Burmese	to blow (of wind)	verb	1738.26	1134	430647	hnɑp⁴ hȵɑs⁴	1738		TBL	blow (one's nose)	hnɑp⁴◦hȵɑs⁴		
#
487	Bola (Luxi) TBL	ʃ ă ³⁵ ◦ u ³¹	Bola	the bone	noun	0133.32	150	351856	ʃă³⁵|u³¹	0133		TBL	bone	ʃă³⁵u³¹	ʃă³⁵ u³¹  | 0133.32	bone
490	Leqi (Luxi) TBL	ʃ ŏ ⁵⁵ ◦ j o u ³³	Lashi	the bone	noun	0133.33	150	351857	ʃŏ⁵⁵jou³³	0133		TBL	bone	ʃŏ⁵⁵jou³³	ʃŏ⁵⁵ jou³³  | 0133.33	bone
493	Langsu (Luxi) TBL	ʃ ŏ ³⁵ ◦ ɣ u k ⁵⁵	Maru	the bone	noun	0133.31	150	351855	ʃŏ³⁵ɣuk⁵⁵	0133		TBL	bone	ʃŏ³⁵ɣuk⁵⁵	ʃŏ³⁵ ɣuk⁵⁵  | 0133.31	bone
5668		ɑ ⁵³ ◦ j o ⁵⁵	Rangoon	the bone	noun	0133.27	1136	351851	ɑ⁵³jo⁵⁵	0133		TBL	bone	ɑ⁵³jo⁵⁵		
6103		ɑ ¹ ◦ r o ³	Written_Burmese	the bone	noun	0133.26	1136	351850	ɑ¹ro³	0133		TBL	bone	ɑ¹ro³		
#
526	Achang (Longchuan) TBL	ʂ ə k ⁵⁵ ◦ k ʐ a ŋ ⁵⁵	Achang_Longchuan	the branch	noun	0374.28	158	364152	ʂək⁵⁵kʐaŋ⁵⁵	0374		TBL	branch / twig	ʂək⁵⁵kʐaŋ⁵⁵	ʂək⁵⁵ kʐaŋ⁵⁵  | 0374.28	branch
528	Atsi [Zaiwa] TBL	s i k ⁵⁵ ◦ k j a̱ ŋ ⁵¹	Atsi	the branch	noun	0374.30	158	364154	sik⁵⁵kja̱ŋ⁵¹	0374		TBL	branch / twig	sik⁵⁵kja̱ŋ⁵¹	sik⁵⁵ kja̱ŋ⁵¹  | 0374.30	branch
529	Bola (Luxi) TBL	s a k ⁵⁵ ◦ k a̱ ʔ ⁵⁵	Bola	the branch	noun	0374.32	158	364156	sak⁵⁵ka̱ʔ⁵⁵	0374		TBL	branch / twig	sak⁵⁵ka̱ʔ⁵⁵	sak⁵⁵ ka̱ʔ⁵⁵  | 0374.32	branch
532	Leqi (Luxi) TBL	s ə̱ k ⁵⁵ ◦ k ɔ̱ ʔ ⁵⁵	Lashi	the branch	noun	0374.33	158	364157	sə̱k⁵⁵kɔ̱ʔ⁵⁵	0374		TBL	branch / twig	sə̱k⁵⁵kɔ̱ʔ⁵⁵	sə̱k⁵⁵ kɔ̱ʔ⁵⁵  | 0374.33	branch
533	Langsu (Luxi) TBL	s a̱ k ⁵⁵ ◦ k ɔ̱ ʔ ⁵⁵	Maru	the branch	noun	0374.31	158	364155	sa̱k⁵⁵kɔ̱ʔ⁵⁵	0374		TBL	branch / twig	sa̱k⁵⁵kɔ̱ʔ⁵⁵	sa̱k⁵⁵ kɔ̱ʔ⁵⁵  | 0374.31	branch
534	Achang (Xiandao) TBL	ʂ ɯ k ⁵⁵ ◦ x ɔ ʔ ⁵⁵	Xiandao	the branch	noun	0374.29	158	364153	ʂɯk⁵⁵xɔʔ⁵⁵	0374		TBL	branch / twig	ʂɯk⁵⁵xɔʔ⁵⁵	ʂɯk⁵⁵ xɔʔ⁵⁵  | 0374.29	branch
535	Burmese (Written) ZMYYC	a ◦ kh a k	Old_Burmese	the branch	noun	?	1137	?		?		HILL/ZMYYC	branch	a khak	a khak | ?	branch
5511		ɑ ⁵³ ◦ k ɑ̃ i ∼ ⁵⁵ ◦ ɑ ⁵³ ◦ kʰ ɛ ʔ ⁴	Rangoon	the branch	noun	0374.27	1137	364151	ɑ⁵³kɑ̃i⁵⁵ɑ⁵³khɛʔ⁴	0374		TBL	branch / twig	ɑ⁵³kɑ̃i⁵⁵ɑ⁵³kʰɛʔ⁴		
5949		ɑ ¹ ◦ k o ŋ ³ ◦ ɑ ¹ ◦ kʰ ɑ k ⁴	Written_Burmese	the branch	noun	0374.26	1137	364150	ɑ¹koŋ³ɑ¹khɑk⁴	0374		TBL	branch / twig	ɑ¹koŋ³ɑ¹kʰɑk⁴		
#
545	Bola (Luxi) TBL	n a u ³⁵	Bola	the breast (female)	noun	0094.32	1139	349851	nau³⁵	0094		TBL	breast	nau³⁵	nau³⁵  | 0094.32	breast
551	Langsu (Luxi) TBL	n u k ⁵⁵	Maru	the breast (female)	noun	0094.31	1139	349850	nuk⁵⁵	0094		TBL	breast	nuk⁵⁵	nuk⁵⁵  | 0094.31	breast
5600		n o ⁵³ ◦ õ ∼ ²²	Rangoon	the breast (female)	noun	0094.27	1139	349846	no⁵³õ²²	0094		TBL	breast	no⁵³õ²²		
6036		n o ¹ ◦ u ṁ ²	Written_Burmese	the breast (female)	noun	0094.26	1139	349845	no¹uṁ²	0094		TBL	breast	no¹uṁ²		
#
573	Achang (Longchuan) TBL	ȵ e ³⁵	Achang_Longchuan	to burn [intransitive]	verb	1269.28	610	409089	ȵe³⁵	1269		TBL	burn	ȵe³⁵	ȵe³⁵  | 1269.28	burn v.
574	Atsi [Zaiwa] TBL	ŋ j e ⁵⁵	Atsi	to burn [intransitive]	verb	1269.30	610	409091	ŋje⁵⁵	1269		TBL	burn	ŋje⁵⁵	ŋje⁵⁵  | 1269.30	burn v.
575	Bola (Luxi) TBL	t ɛ ʔ ³¹	Bola	to burn [intransitive]	verb	1269.32	614	409093	tɛʔ³¹	1269		TBL	burn	tɛʔ³¹	tɛʔ³¹  | 1269.32	burn v.
577	Leqi (Luxi) TBL	t a̱ː p ⁵⁵	Lashi	to burn [intransitive]	verb	1269.33	614	409094	ta̱ːp⁵⁵	1269		TBL	burn	ta̱ːp⁵⁵	ta̱ːp⁵⁵  | 1269.33	burn v.
578	Langsu (Luxi) TBL	t ɛ ʔ ³¹	Maru	to burn [intransitive]	verb	1269.31	614	409092	tɛʔ³¹	1269		TBL	burn	tɛʔ³¹	tɛʔ³¹  | 1269.31	burn v.
579	Achang (Xiandao) TBL	tʂ a p ³⁵	Xiandao	to burn [intransitive]	verb	1269.29	614	409090	tʂap³⁵	1269		TBL	burn	tʂap³⁵	tʂap³⁵  | 1269.29	burn v.
5339		l ɑ̃ u ∼ ²²	Rangoon	to burn [intransitive]	verb	1269.27	1140	409088	lɑ̃u²²	1269		TBL	burn	lɑ̃u²²		
5780		l ɔ ŋ ²	Written_Burmese	to burn [intransitive]	verb	1269.26	1140	409087	lɔŋ²	1269		TBL	burn	lɔŋ²		
#
596	Achang (Longchuan) TBL	o i ⁵⁵	Achang_Longchuan	to buy	verb	1516.28	619	420213	oi⁵⁵	1516		TBL	buy	oi⁵⁵	oi⁵⁵  | 1516.28	buy v.
598	Atsi [Zaiwa] TBL	v u i ⁵¹	Atsi	to buy	verb	1516.30	619	420215	vui⁵¹	1516		TBL	buy	vui⁵¹	vui⁵¹  | 1516.30	buy v.
599	Bola (Luxi) TBL	v ɛ ⁵⁵	Bola	to buy	verb	1516.32	619	420217	vɛ⁵⁵	1516		TBL	buy	vɛ⁵⁵	vɛ⁵⁵  | 1516.32	buy v.
602	Leqi (Luxi) TBL	ɣ əː ³¹	Lashi	to buy	verb	1516.33	619	420218	ɣəː³¹	1516		TBL	buy	ɣəː³¹	ɣəː³¹  | 1516.33	buy v.
603	Langsu (Luxi) TBL	v a i ³¹	Maru	to buy	verb	1516.31	619	420216	vai³¹	1516		TBL	buy	vai³¹	vai³¹  | 1516.31	buy v.
604	Achang (Xiandao) TBL	u i ⁵⁵	Xiandao	to buy	verb	1516.29	619	420214	ui⁵⁵	1516		TBL	buy	ui⁵⁵	ui⁵⁵  | 1516.29	buy v.
605	Burmese (Written) ZMYYC	v a y	Old_Burmese	to buy	verb	?	619	?		?		HILL/ZMYYC	buy v.	vay	vay | ?	buy v.
5355		w ɛ ²²	Rangoon	to buy	verb	1516.27	619	420212	wɛ²²	1516		TBL	buy	wɛ²²		
5796		w ɑ j ²	Written_Burmese	to buy	verb	1516.26	619	420211	wɑj²	1516		TBL	buy	wɑj²		
#
