STDB_ID	STDB_GLOSS	BURMISH_GLOSS	CONCEPTICON_ID	TBL_ID
71	the frost	the frost	2034	0014
72	the fruit	the fruit	1507	0378
73	full	there	1429	0984
74	to give	to give	1447	1345
75	the goat	the goat	1502	0276
76	good	good	1035	1052
77	the grass	the grass	606	0436
78	green	green	1425	1009
79	the hail	the hail	609	0013
80	the hair (of the head)	the hair (of the head)	1040	0075
81	the hand	the hand	1277	0107
82	hard	hard	1884	1034
83	he or she [third person singular]	he or she [third person singular]	262	0934
84	the head	the head	1256	0074
85	to hear	to hear	1408	1682
86	the heart	the heart	1223	0144
87	heavy	heavy	1210	1014
88	here	here	136	0944
89	to hide (conceal)	to hide (conceal)	602	1169
90	high / tall	high / tall	1265	0968
91	to hold	to hold	1448	1709
92	the hoof	the hoof	152	0264
93	horizontal	horizontal	2376	1001
94	the horn (keratinized skin)	the horn (keratinized skin)	1393	0263
95	the horse	the horse	615	0268
96	hot	hot	1286	1062
97	the house	the house	1252	0494
98	hundred	hundred	1634	0824
99	to hunt	to hunt	1435	1230
100	the husband	the husband	1200	0247
101	I [first person singular]	I [first person singular]	1209	0928
102	the ice	the ice	617	0017
103	inside	inside	1606	0715
104	to kill	to kill	1417	1602
105	to knead	knead	274	1594
106	the knee	the knee	1371	0101
107	knife	knife	1352	0549
108	to know (something)	to know	1410	1798
109	the lake	the lake	624	0031
110	late	late	477	1019
111	to laugh	to laugh	1355	1735
112	the leaf	the leaf	628	0376
113	to learn	learn	504	1742
114	left	left	244	0710
115	to lick	to lick	319	1674
116	to lie down	to lie down	215	1661
117	light (of weight)	good	1052	1052
118	the lip (the lips)	the lip (the lips)	478	0085
119	the liver	the liver	1224	0145
120	long	long	1203	0972
121	the louse	the louse	1392	0356
122	the lung	the lung	688	0143
123	the man (male human)	the man (male human)	2106	0173
124	many	many	1198	0987
125	to marry (a man marries a woman)	marry (a man marries a woman)	2164	1578
126	the meat	the meat	634	0443
127	middle	middle	1093	0708
128	the moon	the moon	1313	0004
129	morning	morning	1339	0749
130	the mosquito	the mosquito	1509	0360
131	the mother	the mother	1216	0219
132	the mountain	the mountain	639	0023
133	the mouse or rat	the mouse or rat	2139	0320
134	the mouth	the mouth	674	0084
135	the mud	the mud	640	0046
136	the nail (fingernail or claw)	the nail (fingernail or claw)	2128	0113
137	the name	the name	1405	0687
138	narrow	narrow	1267	0977
139	near	near	1942	0975
140	the neck	the neck	1333	0089
141	the needle (for sewing)	the needle (for sewing)	1382	0578
142	new	new	1231	1050
143	nine	nine	1483	0805
144	the nit	the nit	267	0357
145	noon	noon	12	0750
146	the nose	the nose	1221	0080
147	old (of person)	old (of person)	2112	1058
148	one	one	1493	0797
149	the otter	the otter	15	0317
150	outside	outside	762	0714
151	the pig	the pig	1337	0284
152	to plant (vegetals, rice)	to plant (vegetals, rice)	1486	1774
153	to play	to play	1413	1703
154	to pull	to pull	1455	1568
155	to push	to push	1452	1689
156	the rain	the rain	658	0010
157	the rainbow	the rainbow	1733	0011
158	red	red	156	1007
159	to reside (live)	to reside (live)	1099	1452
160	the rice plant	the rice plant	2026	0439
161	right	right	1019	0711
162	the river	the river	666	0030
163	the road	the road	667	0038
164	the root	the root	670	0375
165	the rope	the rope	1218	0619
166	round	round	1395	0990
167	to run	run	1519	1544
168	the salt	the salt	1274	0061
169	salty	salty	1091	1076
170	the sand	the sand	671	0044
171	to scratch	to scratch	1436	1530
172	the sea	the sea	1474	0032
173	to see	to see	1409	1471
174	the seed	the seed	714	0405
175	seven	seven	1704	0803
176	sharp	sharp	1396	1020
177	the sheep	the sheep	1331	0275
178	to shoot (an arrow)	to shoot (an arrow)	1172	1611
179	short	short	1645	0973
180	the shoulder	the shoulder	1482	0090
181	shy	shy	487	1365
182	the sickle	the sickle	341	0624
183	to sing	to sing	1261	1184
184	six	six	1703	0802
185	the skin	the skin	763	0120
186	the sky	the sky	1732	0001
187	to sleep	to sleep	1585	1646
188	small	small	1246	0965
189	to smell (perceive odor) [transitive]	to smell (perceive odor) [transitive]	1586	1707
190	the smoke	the smoke	778	0019
191	smooth	smooth	1234	1037
192	the snake	the snake	730	0347
193	the snow	the snow	784	0012
194	soft	soft	1856	1035
195	the son	the son	1620	0220
196	the sparrow	the sparrow	1854	0336
197	the spider	the spider	843	0361
198	to spit	to spit	1440	1688
199	to stand	to stand	1442	1784
200	the star	the star	1430	0005
201	to steal	to steal	713	1686
202	the stick	the stick	1295	0586
203	the stone (a piece of)	???	857	0043
204	straight	straight	1404	1003
205	the sun	the sun	1343	0002
206	the tail	the tail	1220	0267
207	ten	ten	1515	0806
208	that	that	78	0947
209	there	there	1937	0950
210	thick	thick	1244	0980
211	the thigh	the thigh	800	0100
212	thin (object)	thin	2307	0981
213	to think (reflect)	to think (reflect)	1415	1726
214	this	this	1214	0942
215	thou [second person singular]	thou [second person singular]	1215	0931
216	three	three	492	0799
217	to throw	to throw	1456	1687
218	the thunder	the thunder	1150	0008
219	the tiger	the tiger	846	0304
220	today	today	1283	0738
221	tomorrow	tomorrow	1329	0742
222	the tongue	the tongue	1205	0139
223	the tooth (front)	the tooth (front)	1380	0137
224	the tree	the tree	906	0372
225	twenty	twenty	1710	0816
226	two	two	1498	0798
227	to vomit	to vomit	1278	1535
228	to walk	to walk	1443	1815
229	the water	the water	948	0047
230	we [first person plural inclusive]	we [first person plural inclusive]	1131	0930
231	wet	wet	1726	1029
232	what	what	1236	0954
233	the wheat	the wheat	1077	0410
234	where	where	1237	0955
235	white	white	1335	1006
236	who	who	1235	0953
237	the wife	the wife	1199	0248
238	the wind	the wind	960	0009
239	the wing	the wing	1257	0298
240	to wipe	to wipe	1454	1163
241	the wolf	to pull	522	0324
242	the woman	the woman	962	0174
243	the wood (material)	the wood (material)	1803	0511
244	to sow (broadcast, scatter seeds)	???	748	1597
245	the year	the year	1226	0777
246	yellow	yellow	1424	1008
247	yesterday	yesterday	1174	0739
248	you [second person plural]	you [second person plural]	1213	0933
249	young	young	1207	1059
250	the shit	???	676	0151
