# Wordlist

# DATA
ID	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	DOCULECT	IPA	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS	METAGLOSS
78	! @nh36	1	16	bitter	1388	Hpun	khà-ŋ	kʰ à ŋ	?	?	bitter	khà, khà-ŋ  | 311	Hpun (Northern) EJAH-Hpun	1	CVc	kh à ŋ	bitter
79	! @nh36	1	16	bitter	1388	Maru	khɔ³⁵	kʰ ɔ ³⁵	?	?	bitter	khɔ³⁵  | 1074.31	Langsu (Luxi) TBL	1	CVT	kh ɔ ³⁵	bitter
80	! @nh36	1	16	bitter	1388	Lashi	khɔː⁵⁵	kʰ ɔː ⁵⁵	?	?	bitter	khɔː⁵⁵  | 1074.33	Leqi (Luxi) TBL	1	CVT	kh ɔː ⁵⁵	bitter
#
81	! @nh36	1 0 2	17	black	1407	Achang_Lianghe	ɑ³¹nɑ³¹	ɑ ³¹ + n ɑ ³¹	?	?	black	ɑ³¹ nɑ³¹  | 1147.20	Achang (Lianghe) JZ-Achang	1 2	VTCVT	ɑ ³¹ ◦ n ɑ ³¹	black
82	! @nh36	4	18	black	1407	Achang_Longchuan	lɔk⁵⁵	l ɔ k ⁵⁵	?	?	black	lɔk⁵⁵  | 1005.28	Achang (Longchuan) TBL	4	CVcT	l ɔ k ⁵⁵	black
83	! @nh36	0 0 2	17	black	1407	Achang_Luxi	na⁵¹	n a ⁵¹	?	?	black	na⁵¹  | 0124.41	Achang (Luxi) JZ-Achang	2	CVT	n a ⁵¹	black
84	! @nh36	0 0 2	17	black	1407	Xiandao	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	?	?	black	nɔʔ⁵⁵  | 1005.29	Achang (Xiandao) TBL	2	CVcT	n ɔ ʔ ⁵⁵	black
85	! @nh36	0 0 2	17	black	1407	Atsi	noʔ²¹	n o ʔ ²¹	?	?	black	noʔ²¹  | 1005.30	Atsi [Zaiwa] TBL	2	CVcT	n o ʔ ²¹	black
86	! @nh36	0 0 2	17	black	1407	Bola	naʔ³¹	n a ʔ ³¹	?	?	black	naʔ³¹  | 1005.32	Bola (Luxi) TBL	2	CVcT	n a ʔ ³¹	black
87	! @nh36	0 0 2	17	black	1407	Burmese_ZMYYC	nak	n a k	?	nak	black	nak	Burmese (Written) ZMYYC	2	CVc	n a k	black
88	! @nh36	0 3 2	17	black	1407	Hpun	kănᴜ̀ʔ	k ă + n ᴜ̀ ʔ	?	?	black	kănᴜ̀ʔ  | 789.41	Hpun (Northern) EJAH-Hpun	3 2	CVCVc	k ă ◦ n ᴜ̀ ʔ	black
89	! @nh36	0 0 2	17	black	1407	Maru	nɔʔ³¹	n ɔ ʔ ³¹	?	?	black	nɔʔ³¹  | 1005.31	Langsu (Luxi) TBL	2	CVcT	n ɔ ʔ ³¹	black
90	! @nh36	0 0 2	17	black	1407	Lashi	nɔːʔ³¹	n ɔː ʔ ³¹	?	?	black	nɔːʔ³¹  | 1005.33	Leqi (Luxi) TBL	2	CVcT	n ɔː ʔ ³¹	black
#
91	1 @lingulist, 0 @nh36	1 2	20	blunt	1420	Achang_Lianghe	n³¹thɑ³¹	n ³¹ + tʰ ɑ ³¹	?	?	blunt / dull	n³¹ thɑ³¹  | 1388.19	Achang (Lianghe) JZ-Achang	1 2	CTCVT	n ³¹ ◦ th ɑ ³¹	blunt
92	! @nh36	3	19	blunt	1420	Achang_Longchuan	təm³⁵	t ə m ³⁵	?	?	blunt / dull	təm³⁵  | 1021.28	Achang (Longchuan) TBL	3	CVcT	t ə m ³⁵	blunt
93	! @nh36	3	19	blunt	1420	Achang_Luxi	tɔp³¹	t ɔ p ³¹	?	?	blunt / dull	tɔp³¹  | 1278.28	Achang (Luxi) JZ-Achang	3	CVcT	t ɔ p ³¹	blunt
94	! @nh36	3	19	blunt	1420	Xiandao	tum³¹	t u m ³¹	?	?	blunt / dull	tum³¹  | 1021.29	Achang (Xiandao) TBL	3	CVcT	t u m ³¹	blunt
95	! @nh36	3	19	blunt	1420	Atsi	tum²¹	t u m ²¹	?	?	blunt / dull	tum²¹  | 1021.30	Atsi [Zaiwa] TBL	3	CVcT	t u m ²¹	blunt
96	! @nh36	1 2	20	blunt	1420	Bola	a³¹thaʔ⁵⁵	a ³¹ + tʰ a ʔ ⁵⁵	?	?	blunt / dull	a³¹ thaʔ⁵⁵  | 1021.32	Bola (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th a ʔ ⁵⁵	blunt
97	! @nh36	3	19	blunt	1420	Burmese_ZMYYC	tuṁ³	t u ṁ ³	?	?	blunt / dull	tuṁ³  | 871.39	Burmese (Written) ZMYYC	3	CVcT	t u ṁ ³	blunt
98	! @nh36	3	19	blunt	1420	Maru	tam³⁵	t a m ³⁵	?	?	blunt / dull	tam³⁵  | 1021.31	Langsu (Luxi) TBL	3	CVcT	t a m ³⁵	blunt
99	! @nh36	1 2	20	blunt	1420	Lashi	a³¹thɔʔ⁵⁵	a ³¹ + tʰ ɔ ʔ ⁵⁵	?	?	blunt / dull	a³¹ thɔʔ⁵⁵  | 1021.33	Leqi (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th ɔ ʔ ⁵⁵	blunt
#
2697	! @nh36	0 0 1 2 0	448	boiled water	17	Achang_Longchuan	ti⁵⁵su⁵⁵	t i ⁵⁵ + s u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ su⁵⁵  | 0453.28	Achang (Longchuan) TBL	1 2	CVTCVT	t i ⁵⁵ ◦ s u ⁵⁵	the water
2698	! @nh36	0 0 1 0 3	448	boiled water	17	Xiandao	ti⁵⁵pu⁵⁵	t i ⁵⁵ + p u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ pu⁵⁵  | 0453.29	Achang (Xiandao) TBL	1 3	CVTCVT	t i ⁵⁵ ◦ p u ⁵⁵	the water
2699	! @nh36	4 0 0 0 3	448	boiled water	17	Atsi	vui⁵¹pu⁵¹	v u i ⁵¹ + p u ⁵¹	?	?	water (boiled) n	vui⁵¹ pu⁵¹  | 0453.30	Atsi [Zaiwa] TBL	4 3	CVTCVT	v ui ⁵¹ ◦ p u ⁵¹	the water
2700	! @nh36	4 5 0 0 0	448	boiled water	17	Bola	ɣəi⁵⁵lauŋ⁵⁵	ɣ ə i ⁵⁵ + l a u ŋ ⁵⁵	?	?	water (boiled) n	ɣəi⁵⁵ lauŋ⁵⁵  | 0453.32	Bola (Luxi) TBL	4 5	CVTCVcT	ɣ əi ⁵⁵ ◦ l au ŋ ⁵⁵	the water
2701	! @nh36	4 5 0 0 0	448	boiled water	17	Maru	ɣək³¹lauŋ³¹	ɣ ə k ³¹ + l a u ŋ ³¹	?	?	water (boiled) n	ɣək³¹ lauŋ³¹  | 0453.31	Langsu (Luxi) TBL	4 5	CVcTCVcT	ɣ ə k ³¹ ◦ l au ŋ ³¹	the water
2702	! @nh36	4 5 0 0 0	448	boiled water	17	Lashi	kjei³¹luŋ³¹	k j e i ³¹ + l u ŋ ³¹	?	?	water (boiled) n	kjei³¹ luŋ³¹  | 0453.33	Leqi (Luxi) TBL	4 5	CCVTCVcT	k j ei ³¹ ◦ l u ŋ ³¹	the water
#
1521	! @nh36	1 0 0 2	260	burn the grass	822	Achang_Longchuan	ʐa⁵⁵ŋ̊eʔ⁵⁵	ʐ a ⁵⁵ + ŋ̊ e ʔ ⁵⁵	?	?	burn the grass on wasteland v.	ʐa⁵⁵ ŋ̊eʔ⁵⁵  | 1610.28	Achang (Longchuan) TBL	1 2	CVTCVcT	ʐ a ⁵⁵ ◦ ŋ̊ e ʔ ⁵⁵	the grass
1522	! @nh36	0 0 0 2	260	burn the grass	822	Xiandao	n̥ɛ³⁵	n̥ ɛ ³⁵	?	?	burn the grass on wasteland v.	n̥ɛ³⁵  | 1610.29	Achang (Xiandao) TBL	2	CVT	n̥ ɛ ³⁵	the grass
1523	! @nh36	0 3 4 2	260	burn the grass	822	Atsi	mup²¹jo⁵¹ŋje̱⁵⁵	m u p ²¹ + j o ⁵¹ + ŋ j e̱ ⁵⁵	?	?	burn the grass on wasteland v.	mup²¹ jo⁵¹ ŋje̱⁵⁵  | 1610.30	Atsi [Zaiwa] TBL	3 4 2	CVcTCVTCCVT	m u p ²¹ ◦ j o ⁵¹ ◦ ŋ j e̱ ⁵⁵	the grass
1524	! @nh36	0 0 0 2	260	burn the grass	822	Bola	ŋjɛ³⁵	ŋ j ɛ ³⁵	?	?	burn the grass on wasteland v.	ŋjɛ³⁵  | 1610.32	Bola (Luxi) TBL	2	CCVT	ŋ j ɛ ³⁵	the grass
1525	! @nh36	5	261	burn the grass	822	Maru	mi³⁵ŋa̱⁵⁵	?	?	?	burn the grass on wasteland v.	mi³⁵ ŋa̱⁵⁵  | 1610.31	Langsu (Luxi) TBL	5	CVTCVT	m i ³⁵ ◦ ŋ a̱ ⁵⁵	the grass
1526	! @nh36	0 0 4 2	260	burn the grass	822	Lashi	jo³¹ŋɛː⁵³	j o ³¹ + ŋ ɛː ⁵³	?	?	burn the grass on wasteland v.	jo³¹ ŋɛː⁵³  | 1610.33	Leqi (Luxi) TBL	4 2	CVTCVT	j o ³¹ ◦ ŋ ɛː ⁵³	the grass
3122	! @nh36	0 0 8 2 0	529	burn the grass	76	Achang_Longchuan	ʐa⁵⁵ŋ̊eʔ⁵⁵	ʐ a ⁵⁵ + ŋ̊ e ʔ ⁵⁵	?	?	burn the grass on wasteland v.	ʐa⁵⁵ ŋ̊eʔ⁵⁵  | 1610.28	Achang (Longchuan) TBL	8 2	CVTCVcT	ʐ a ⁵⁵ ◦ ŋ̊ e ʔ ⁵⁵	to burn (transitive)
3123	! @nh36	0 0 0 2 0	529	burn the grass	76	Xiandao	n̥ɛ³⁵	n̥ ɛ ³⁵	?	?	burn the grass on wasteland v.	n̥ɛ³⁵  | 1610.29	Achang (Xiandao) TBL	2	CVT	n̥ ɛ ³⁵	to burn (transitive)
3124	! @nh36	7 6 0 2 0	529	burn the grass	76	Atsi	mup²¹jo⁵¹ŋje̱⁵⁵	m u p ²¹ + j o ⁵¹ + ŋ j e̱ ⁵⁵	?	?	burn the grass on wasteland v.	mup²¹ jo⁵¹ ŋje̱⁵⁵  | 1610.30	Atsi [Zaiwa] TBL	7 6 2	CVcTCVTCCVT	m u p ²¹ ◦ j o ⁵¹ ◦ ŋ j e̱ ⁵⁵	to burn (transitive)
3125	! @nh36	0 0 0 2 0	529	burn the grass	76	Bola	ŋjɛ³⁵	ŋ j ɛ ³⁵	?	?	burn the grass on wasteland v.	ŋjɛ³⁵  | 1610.32	Bola (Luxi) TBL	2	CCVT	ŋ j ɛ ³⁵	to burn (transitive)
3126	! @nh36	25	533	burn the grass	76	Maru	mi³⁵ŋa̱⁵⁵	?	?	?	burn the grass on wasteland v.	mi³⁵ ŋa̱⁵⁵  | 1610.31	Langsu (Luxi) TBL	25	CVTCVT	m i ³⁵ ◦ ŋ a̱ ⁵⁵	to burn (transitive)
3127	! @nh36	0 6 0 2 0	529	burn the grass	76	Lashi	jo³¹ŋɛː⁵³	j o ³¹ + ŋ ɛː ⁵³	?	?	burn the grass on wasteland v.	jo³¹ ŋɛː⁵³  | 1610.33	Leqi (Luxi) TBL	6 2	CVTCVT	j o ³¹ ◦ ŋ ɛː ⁵³	to burn (transitive)
#
100	! @nh36	1	22	cold	1427	Achang_Lianghe	tʂhɑŋ³¹	tʂʰ ɑ ŋ ³¹	?	?	cold (weather, water)	tʂhɑŋ³¹  | 1473.03	Achang (Lianghe) JZ-Achang	1	CVcT	tʂh ɑ ŋ ³¹	cold
101	! @nh36	2	21	cold	1427	Achang_Longchuan	kʐuat⁵⁵	kʐ u a t ⁵⁵	?	?	cold (weather, water)	kʐuat⁵⁵  | 1063.28	Achang (Longchuan) TBL	2	CCVcT	k ʐ ua t ⁵⁵	cold
102	! @nh36	3	23	cold	1427	Achang_Luxi	tsiam⁵⁵	ts i a m ⁵⁵	?	?	cold (weather, water)	tsiam⁵⁵  | 460.9	Achang (Luxi) JZ-Achang	3	CVcT	ts ia m ⁵⁵	cold
103	! @nh36	2	21	cold	1427	Xiandao	kʐot⁵⁵	kʐ o t ⁵⁵	?	?	cold (weather, water)	kʐot⁵⁵  | 1063.29	Achang (Xiandao) TBL	2	CCVcT	k ʐ o t ⁵⁵	cold
104	! @nh36	2	21	cold	1427	Atsi	kjoʔ²¹	k j o ʔ ²¹	?	?	cold (weather, water)	kjoʔ²¹  | 1063.30	Atsi [Zaiwa] TBL	2	CCVcT	k j o ʔ ²¹	cold
105	! @nh36	2	21	cold	1427	Bola	kjaʔ³¹	k j a ʔ ³¹	?	?	cold (weather, water)	kjaʔ³¹  | 1063.32	Bola (Luxi) TBL	2	CCVcT	k j a ʔ ³¹	cold
106	! @nh36	2	21	cold	1427	Maru	kjɔʔ³¹	k j ɔ ʔ ³¹	?	?	cold (weather, water)	kjɔʔ³¹  | 1063.31	Langsu (Luxi) TBL	2	CCVcT	k j ɔ ʔ ³¹	cold
107	! @nh36	4	24	cold	1427	Lashi	ŋaːm⁵⁵	ŋ aː m ⁵⁵	?	?	cold (weather, water)	ŋaːm⁵⁵  | 1063.33	Leqi (Luxi) TBL	4	CVcT	ŋ aː m ⁵⁵	cold
#
108	! @nh36	1 2	28	dirty	1429	Achang_Lianghe	lɑ³¹thɑ⁵⁵	l ɑ ³¹ + tʰ ɑ ⁵⁵	?	?	dirty	lɑ³¹ thɑ⁵⁵  | 464.27	Achang (Lianghe) JZ-Achang	1 2	CVTCVT	l ɑ ³¹ ◦ th ɑ ⁵⁵	dirty
109	! @nh36	3	26	dirty	1429	Achang_Longchuan	ək³⁵	ə k ³⁵	?	?	dirty	ək³⁵  | 1086.28	Achang (Longchuan) TBL	3	VcT	ə k ³⁵	dirty
