# Wordlist

# DATA
ID	DOCULECT	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	IPA	METAGLOSS	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS
9	Burmese_ZMYYC	! @nh36	5 0 7	4	all	1286	a³luṁ³	all	a ³ + l u ṁ ³	?	?	all 2	a³ luṁ³  | 999.39	Burmese (Written) ZMYYC	5 7	VTCVcT	a ³ ◦ l u ṁ ³
6	Lashi	! @lingulist	2 3 0	1	all	1286	pan³¹ʃɔ̱ʔ⁵⁵	all	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵	?	?	all 1	pan³¹ ʃɔ̱ʔ⁵⁵  | 0962.33  | 0963.33	Leqi (Luxi) TBL	2 3	CVcTCVcT	p a n ³¹ ◦ ʃ ɔ̱ ʔ ⁵⁵
5	Maru	! @lingulist	2 3 0	1	all	1286	pəŋ³¹ʃɔʔ⁵⁵	all	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	?	?	all 1	pəŋ³¹ ʃɔʔ⁵⁵   | 0962.31 | 0963.31	Langsu (Luxi) TBL	2 3	CVcTCVcT	p ə ŋ ³¹ ◦ ʃ ɔ ʔ ⁵⁵
12	Maru_B	! @nh36	0 3 0	1	all	1286	lɔ̱̃⁵⁵	all	l ɔ̱̃ ⁵⁵	?	?	all 3	lɔ̱̃⁵⁵  | 999.43	Maru [Langsu] ZMYYC	3	CVVT	l ɔ̱̃ ∼ ⁵⁵
13	Xiandao	! @nh36	9	5	all	1286	chot⁵⁵	all	c h o t ⁵⁵	?	?	all 4	chot⁵⁵  | 0962.29 | 0963.29	Achang (Xiandao) TBL	9	CVcT	ch o t ⁵⁵
#
46	Achang_Lianghe	! @nh36	1	8	bad	1478	kɑŋ³¹	bad	k ɑ ŋ ³¹	?	?	bad	kɑŋ³¹  | 158.39	Achang (Lianghe) JZ-Achang	1	CVcT	k ɑ ŋ ³¹
47	Achang_Longchuan	! @nh36	0 2	9	bad	1478	tɕa⁵⁵	bad	tɕ a ⁵⁵	?	?	bad	tɕa⁵⁵  | 1053.28	Achang (Longchuan) TBL	2	CVT	tɕ a ⁵⁵
48	Achang_Luxi	! @nh36	1	8	bad	1478	kaŋ⁵¹	bad	k a ŋ ⁵¹	?	?	bad	kaŋ⁵¹  | 304.2	Achang (Luxi) JZ-Achang	1	CVcT	k a ŋ ⁵¹
50	Atsi	! @nh36	4	10	bad	1478	then²¹	bad	tʰ e n ²¹	?	?	bad	then²¹  | 1053.30	Atsi [Zaiwa] TBL	4	CVcT	th e n ²¹
51	Bola	! @nh36	5 6	11	bad	1478	a³¹kai⁵⁵	bad	a ³¹ + k a i ⁵⁵	?	?	bad	a³¹ kai⁵⁵  | 1053.32	Bola (Luxi) TBL	5 6	VTCVT	a ³¹ ◦ k ai ⁵⁵
52	Burmese_ZMYYC	1 @nh36	7	12	bad	1478	cho³	bad	c h o ³	?	?	bad	cho³  | 861.39	Burmese (Written) ZMYYC	7	CVT	ch o ³
55	Hpun	! @nh36	1	8	bad	1478	măkɔ̀ŋ	bad	?	?	?	bad (= 'not good')	măkɔ̀ŋ  | 0217.23	Hpun (Northern) EJAH-Hpun	1	CVCVc	m ă ◦ k ɔ̀ ŋ
241	Hpun	! @nh36	1 2	52	bad	1477	măkɔ̀ŋ	good	m ă + k ɔ̀ ŋ	?	?	bad (= 'not good')	măkɔ̀ŋ  | 0217.23	Hpun (Northern) EJAH-Hpun	1 2	CVCVc	m ă ◦ k ɔ̀ ŋ
54	Lashi	! @nh36	9	13	bad	1478	pjɔːʔ³¹	bad	p j ɔː ʔ ³¹	?	?	bad	pjɔːʔ³¹  | 1053.33	Leqi (Luxi) TBL	9	CCVcT	p j ɔː ʔ ³¹
53	Maru	! @nh36	8	14	bad	1478	kɔi³⁵	bad	k ɔ i ³⁵	?	?	bad	kɔi³⁵  | 1053.31	Langsu (Luxi) TBL	8	CVT	k ɔi ³⁵
49	Xiandao	? @nh36	3 2	9	bad	1478	n³¹cɛ⁵⁵	bad	n ³¹ + c ɛ ⁵⁵	?	?	bad	n³¹ cɛ⁵⁵  | 1053.29	Achang (Xiandao) TBL	3 2	CTCVT	n ³¹ c ɛ ⁵⁵
#
577	Achang_Longchuan	! @nh36	1	105	be on the other side	1898	xuaŋ³¹	other	x u a ŋ ³¹	?	?	be on the other side (of a riv v.	xuaŋ³¹  | 1343.28	Achang (Longchuan) TBL	1	CVcT	x ua ŋ ³¹
579	Atsi	! @nh36	2	104	be on the other side	1898	kjo̱⁵¹	other	k j o̱ ⁵¹	?	?	be on the other side (of a riv v.	kjo̱⁵¹  | 1343.30	Atsi [Zaiwa] TBL	2	CCVT	k j o̱ ⁵¹
580	Bola	! @nh36	2	104	be on the other side	1898	kja̱⁵⁵	other	k j a̱ ⁵⁵	?	?	be on the other side (of a riv v.	kja̱⁵⁵  | 1343.32	Bola (Luxi) TBL	2	CCVT	k j a̱ ⁵⁵
582	Lashi	! @nh36	2	104	be on the other side	1898	kjɔ̱ː³³	other	k j ɔ̱ː ³³	?	?	be on the other side (of a riv v.	kjɔ̱ː³³  | 1343.33	Leqi (Luxi) TBL	2	CCVT	k j ɔ̱ː ³³
581	Maru	! @nh36	2	104	be on the other side	1898	kjɔ̱³¹	other	k j ɔ̱ ³¹	?	?	be on the other side (of a riv v.	kjɔ̱³¹  | 1343.31	Langsu (Luxi) TBL	2	CCVT	k j ɔ̱ ³¹
578	Xiandao	! @nh36	1	105	be on the other side	1898	xɔŋ³¹	other	x ɔ ŋ ³¹	?	?	be on the other side (of a riv v.	xɔŋ³¹  | 1343.29	Achang (Xiandao) TBL	1	CVcT	x ɔ ŋ ³¹
#
56	Achang_Lianghe	! @nh36	1 0 0	15	big	1241	kɯ³¹	big	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Lianghe) JZ-Achang	1	CVT	k ɯ ³¹
57	Achang_Longchuan	! @nh36	1 0 0	15	big	1241	kʐə³¹	big	kʐ ə ³¹	?	?	big	kʐə³¹  | 0964.28	Achang (Longchuan) TBL	1	CCVT	k ʐ ə ³¹
58	Achang_Luxi	! @nh36	1 0 0	15	big	1241	kɯ⁵¹	big	k ɯ ⁵¹	?	?	big	kɯ⁵¹  | 163	Achang (Luxi) JZ-Achang	1	CVT	k ɯ ⁵¹
60	Atsi	! @nh36	1 0 0	15	big	1241	ko̱²¹	big	k o̱ ²¹	?	?	big	ko̱²¹  | 0964.30	Atsi [Zaiwa] TBL	1	CVT	k o̱ ²¹
61	Bola	! @nh36	1 0 0	15	big	1241	kɔ̱³⁵	big	k ɔ̱ ³⁵	?	?	big	kɔ̱³⁵  | 0964.32	Bola (Luxi) TBL	1	CVT	k ɔ̱ ³⁵
62	Burmese_ZMYYC	? @nh36	1 0 0	15	big	1241	krīḥ	big	k r i ³	?	krīḥ	big	kri³  | 800.39	Burmese (Written) ZMYYC	1	CCVT	k r ī ḥ
63	Hpun	! @nh36	1 0 0	15	big	1241	chèʼ	big	c h èʼ	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CVc	ch è ʔ
64	Hpun	! @nh36	1 0 0	15	big	1241	chì	big	c h ì	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CV	ch ì
65	Hpun	! @nh36	1 0 0	15	big	1241	chè-ŋ	big	c h è ŋ	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CVc	ch è ŋ
67	Lashi	! @nh36	1 0 0	15	big	1241	kjiː³³	big	k j iː ³³	?	?	big	kjiː³³  | 0964.33	Leqi (Luxi) TBL	1	CCVT	k j iː ³³
66	Maru	! @nh36	1 0 0	15	big	1241	ɣə³⁵	big	ɣ ə ³⁵	?	?	big	ɣə³⁵  | 0964.31	Langsu (Luxi) TBL	1	CVT	ɣ ə ³⁵
68	Maru_D	! @nh36	1 0 0	15	big	1241	yī	big	y ī	?	?	big	yī  | 240	Maru [Langsu] JO-PB	1	CV	y ī
59	Xiandao	! @nh36	1 0 0	15	big	1241	kɯ³¹	big	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Xiandao) TBL	1	CVT	k ɯ ³¹
#
70	Achang_Lianghe	! @nh36	1	16	bitter	1388	khɑ³¹	bitter	kʰ ɑ ³¹	?	?	bitter	khɑ³¹  | 0476.26	Achang (Lianghe) JZ-Achang	1	CVT	kh ɑ ³¹
71	Achang_Longchuan	! @nh36	1	16	bitter	1388	xɔ³¹	bitter	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.28	Achang (Longchuan) TBL	1	CVT	x ɔ ³¹
72	Achang_Luxi	! @nh36	1	16	bitter	1388	kha⁵⁵	bitter	kʰ a ⁵⁵	?	?	bitter	kha⁵⁵  | 688.29	Achang (Luxi) JZ-Achang	1	CVT	kh a ⁵⁵
74	Atsi	! @nh36	1	16	bitter	1388	kho²¹	bitter	kʰ o ²¹	?	?	bitter	kho²¹  | 1074.30	Atsi [Zaiwa] TBL	1	CVT	kh o ²¹
75	Bola	! @nh36	1	16	bitter	1388	kha³⁵	bitter	kʰ a ³⁵	?	?	bitter	kha³⁵  | 1074.32	Bola (Luxi) TBL	1	CVT	kh a ³⁵
76	Burmese_ZMYYC	? @nh36	1	16	bitter	1388	khāḥ	bitter	kʰ ā ḥ	?	khāḥ	bitter	khāḥ	Burmese (Written) ZMYYC	1	CVT	kh ā ḥ
77	Hpun	! @nh36	1	16	bitter	1388	khà	bitter	kʰ à	?	?	bitter	khà, khà-ŋ  | 311	Hpun (Northern) EJAH-Hpun	1	CV	kh à
78	Hpun	! @nh36	1	16	bitter	1388	khà-ŋ	bitter	kʰ à ŋ	?	?	bitter	khà, khà-ŋ  | 311	Hpun (Northern) EJAH-Hpun	1	CVc	kh à ŋ
80	Lashi	! @nh36	1	16	bitter	1388	khɔː⁵⁵	bitter	kʰ ɔː ⁵⁵	?	?	bitter	khɔː⁵⁵  | 1074.33	Leqi (Luxi) TBL	1	CVT	kh ɔː ⁵⁵
79	Maru	! @nh36	1	16	bitter	1388	khɔ³⁵	bitter	kʰ ɔ ³⁵	?	?	bitter	khɔ³⁵  | 1074.31	Langsu (Luxi) TBL	1	CVT	kh ɔ ³⁵
73	Xiandao	! @nh36	1	16	bitter	1388	xɔ³¹	bitter	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.29	Achang (Xiandao) TBL	1	CVT	x ɔ ³¹
#
81	Achang_Lianghe	! @nh36	1 0 2	17	black	1407	ɑ³¹nɑ³¹	black	ɑ ³¹ + n ɑ ³¹	?	?	black	ɑ³¹ nɑ³¹  | 1147.20	Achang (Lianghe) JZ-Achang	1 2	VTCVT	ɑ ³¹ ◦ n ɑ ³¹
82	Achang_Longchuan	! @nh36	4	18	black	1407	lɔk⁵⁵	black	l ɔ k ⁵⁵	?	?	black	lɔk⁵⁵  | 1005.28	Achang (Longchuan) TBL	4	CVcT	l ɔ k ⁵⁵
83	Achang_Luxi	! @nh36	0 0 2	17	black	1407	na⁵¹	black	n a ⁵¹	?	?	black	na⁵¹  | 0124.41	Achang (Luxi) JZ-Achang	2	CVT	n a ⁵¹
85	Atsi	! @nh36	0 0 2	17	black	1407	noʔ²¹	black	n o ʔ ²¹	?	?	black	noʔ²¹  | 1005.30	Atsi [Zaiwa] TBL	2	CVcT	n o ʔ ²¹
86	Bola	! @nh36	0 0 2	17	black	1407	naʔ³¹	black	n a ʔ ³¹	?	?	black	naʔ³¹  | 1005.32	Bola (Luxi) TBL	2	CVcT	n a ʔ ³¹
87	Burmese_ZMYYC	! @nh36	0 0 2	17	black	1407	nak	black	n a k	?	nak	black	nak	Burmese (Written) ZMYYC	2	CVc	n a k
88	Hpun	! @nh36	0 3 2	17	black	1407	kănᴜ̀ʔ	black	k ă + n ᴜ̀ ʔ	?	?	black	kănᴜ̀ʔ  | 789.41	Hpun (Northern) EJAH-Hpun	3 2	CVCVc	k ă ◦ n ᴜ̀ ʔ
90	Lashi	! @nh36	0 0 2	17	black	1407	nɔːʔ³¹	black	n ɔː ʔ ³¹	?	?	black	nɔːʔ³¹  | 1005.33	Leqi (Luxi) TBL	2	CVcT	n ɔː ʔ ³¹
89	Maru	! @nh36	0 0 2	17	black	1407	nɔʔ³¹	black	n ɔ ʔ ³¹	?	?	black	nɔʔ³¹  | 1005.31	Langsu (Luxi) TBL	2	CVcT	n ɔ ʔ ³¹
84	Xiandao	! @nh36	0 0 2	17	black	1407	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	?	?	black	nɔʔ⁵⁵  | 1005.29	Achang (Xiandao) TBL	2	CVcT	n ɔ ʔ ⁵⁵
#
91	Achang_Lianghe	1 @lingulist, 0 @nh36	1 2	20	blunt	1420	n³¹thɑ³¹	blunt	n ³¹ + tʰ ɑ ³¹	?	?	blunt / dull	n³¹ thɑ³¹  | 1388.19	Achang (Lianghe) JZ-Achang	1 2	CTCVT	n ³¹ ◦ th ɑ ³¹
92	Achang_Longchuan	! @nh36	3	19	blunt	1420	təm³⁵	blunt	t ə m ³⁵	?	?	blunt / dull	təm³⁵  | 1021.28	Achang (Longchuan) TBL	3	CVcT	t ə m ³⁵
93	Achang_Luxi	! @nh36	3	19	blunt	1420	tɔp³¹	blunt	t ɔ p ³¹	?	?	blunt / dull	tɔp³¹  | 1278.28	Achang (Luxi) JZ-Achang	3	CVcT	t ɔ p ³¹
95	Atsi	! @nh36	3	19	blunt	1420	tum²¹	blunt	t u m ²¹	?	?	blunt / dull	tum²¹  | 1021.30	Atsi [Zaiwa] TBL	3	CVcT	t u m ²¹
96	Bola	! @nh36	1 2	20	blunt	1420	a³¹thaʔ⁵⁵	blunt	a ³¹ + tʰ a ʔ ⁵⁵	?	?	blunt / dull	a³¹ thaʔ⁵⁵  | 1021.32	Bola (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th a ʔ ⁵⁵
97	Burmese_ZMYYC	! @nh36	3	19	blunt	1420	tuṁ³	blunt	t u ṁ ³	?	?	blunt / dull	tuṁ³  | 871.39	Burmese (Written) ZMYYC	3	CVcT	t u ṁ ³
99	Lashi	! @nh36	1 2	20	blunt	1420	a³¹thɔʔ⁵⁵	blunt	a ³¹ + tʰ ɔ ʔ ⁵⁵	?	?	blunt / dull	a³¹ thɔʔ⁵⁵  | 1021.33	Leqi (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th ɔ ʔ ⁵⁵
98	Maru	! @nh36	3	19	blunt	1420	tam³⁵	blunt	t a m ³⁵	?	?	blunt / dull	tam³⁵  | 1021.31	Langsu (Luxi) TBL	3	CVcT	t a m ³⁵
94	Xiandao	! @nh36	3	19	blunt	1420	tum³¹	blunt	t u m ³¹	?	?	blunt / dull	tum³¹  | 1021.29	Achang (Xiandao) TBL	3	CVcT	t u m ³¹
#
2697	Achang_Longchuan	! @nh36	0 0 1 2 0	448	boiled water	17	ti⁵⁵su⁵⁵	the water	t i ⁵⁵ + s u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ su⁵⁵  | 0453.28	Achang (Longchuan) TBL	1 2	CVTCVT	t i ⁵⁵ ◦ s u ⁵⁵
2699	Atsi	! @nh36	4 0 0 0 3	448	boiled water	17	vui⁵¹pu⁵¹	the water	v u i ⁵¹ + p u ⁵¹	?	?	water (boiled) n	vui⁵¹ pu⁵¹  | 0453.30	Atsi [Zaiwa] TBL	4 3	CVTCVT	v ui ⁵¹ ◦ p u ⁵¹
2700	Bola	! @nh36	4 5 0 0 0	448	boiled water	17	ɣəi⁵⁵lauŋ⁵⁵	the water	ɣ ə i ⁵⁵ + l a u ŋ ⁵⁵	?	?	water (boiled) n	ɣəi⁵⁵ lauŋ⁵⁵  | 0453.32	Bola (Luxi) TBL	4 5	CVTCVcT	ɣ əi ⁵⁵ ◦ l au ŋ ⁵⁵
2702	Lashi	! @nh36	4 5 0 0 0	448	boiled water	17	kjei³¹luŋ³¹	the water	k j e i ³¹ + l u ŋ ³¹	?	?	water (boiled) n	kjei³¹ luŋ³¹  | 0453.33	Leqi (Luxi) TBL	4 5	CCVTCVcT	k j ei ³¹ ◦ l u ŋ ³¹
2701	Maru	! @nh36	4 5 0 0 0	448	boiled water	17	ɣək³¹lauŋ³¹	the water	ɣ ə k ³¹ + l a u ŋ ³¹	?	?	water (boiled) n	ɣək³¹ lauŋ³¹  | 0453.31	Langsu (Luxi) TBL	4 5	CVcTCVcT	ɣ ə k ³¹ ◦ l au ŋ ³¹
2698	Xiandao	! @nh36	0 0 1 0 3	448	boiled water	17	ti⁵⁵pu⁵⁵	the water	t i ⁵⁵ + p u ⁵⁵	?	?	water (boiled) n	ti⁵⁵ pu⁵⁵  | 0453.29	Achang (Xiandao) TBL	1 3	CVTCVT	t i ⁵⁵ ◦ p u ⁵⁵
#
1521	Achang_Longchuan	! @nh36	1 0 0 2	260	burn the grass	822	ʐa⁵⁵ŋ̊eʔ⁵⁵	the grass	ʐ a ⁵⁵ + ŋ̊ e ʔ ⁵⁵	?	?	burn the grass on wasteland v.	ʐa⁵⁵ ŋ̊eʔ⁵⁵  | 1610.28	Achang (Longchuan) TBL	1 2	CVTCVcT	ʐ a ⁵⁵ ◦ ŋ̊ e ʔ ⁵⁵
3122	Achang_Longchuan	! @nh36	0 0 8 2 0	529	burn the grass	76	ʐa⁵⁵ŋ̊eʔ⁵⁵	to burn (transitive)	ʐ a ⁵⁵ + ŋ̊ e ʔ ⁵⁵	?	?	burn the grass on wasteland v.	ʐa⁵⁵ ŋ̊eʔ⁵⁵  | 1610.28	Achang (Longchuan) TBL	8 2	CVTCVcT	ʐ a ⁵⁵ ◦ ŋ̊ e ʔ ⁵⁵
1523	Atsi	! @nh36	0 3 4 2	260	burn the grass	822	mup²¹jo⁵¹ŋje̱⁵⁵	the grass	m u p ²¹ + j o ⁵¹ + ŋ j e̱ ⁵⁵	?	?	burn the grass on wasteland v.	mup²¹ jo⁵¹ ŋje̱⁵⁵  | 1610.30	Atsi [Zaiwa] TBL	3 4 2	CVcTCVTCCVT	m u p ²¹ ◦ j o ⁵¹ ◦ ŋ j e̱ ⁵⁵
3124	Atsi	! @nh36	7 6 0 2 0	529	burn the grass	76	mup²¹jo⁵¹ŋje̱⁵⁵	to burn (transitive)	m u p ²¹ + j o ⁵¹ + ŋ j e̱ ⁵⁵	?	?	burn the grass on wasteland v.	mup²¹ jo⁵¹ ŋje̱⁵⁵  | 1610.30	Atsi [Zaiwa] TBL	7 6 2	CVcTCVTCCVT	m u p ²¹ ◦ j o ⁵¹ ◦ ŋ j e̱ ⁵⁵
1524	Bola	! @nh36	0 0 0 2	260	burn the grass	822	ŋjɛ³⁵	the grass	ŋ j ɛ ³⁵	?	?	burn the grass on wasteland v.	ŋjɛ³⁵  | 1610.32	Bola (Luxi) TBL	2	CCVT	ŋ j ɛ ³⁵
3125	Bola	! @nh36	0 0 0 2 0	529	burn the grass	76	ŋjɛ³⁵	to burn (transitive)	ŋ j ɛ ³⁵	?	?	burn the grass on wasteland v.	ŋjɛ³⁵  | 1610.32	Bola (Luxi) TBL	2	CCVT	ŋ j ɛ ³⁵
1526	Lashi	! @nh36	0 0 4 2	260	burn the grass	822	jo³¹ŋɛː⁵³	the grass	j o ³¹ + ŋ ɛː ⁵³	?	?	burn the grass on wasteland v.	jo³¹ ŋɛː⁵³  | 1610.33	Leqi (Luxi) TBL	4 2	CVTCVT	j o ³¹ ◦ ŋ ɛː ⁵³
3127	Lashi	! @nh36	0 6 0 2 0	529	burn the grass	76	jo³¹ŋɛː⁵³	to burn (transitive)	j o ³¹ + ŋ ɛː ⁵³	?	?	burn the grass on wasteland v.	jo³¹ ŋɛː⁵³  | 1610.33	Leqi (Luxi) TBL	6 2	CVTCVT	j o ³¹ ◦ ŋ ɛː ⁵³
1525	Maru	! @nh36	5	261	burn the grass	822	mi³⁵ŋa̱⁵⁵	the grass	?	?	?	burn the grass on wasteland v.	mi³⁵ ŋa̱⁵⁵  | 1610.31	Langsu (Luxi) TBL	5	CVTCVT	m i ³⁵ ◦ ŋ a̱ ⁵⁵
3126	Maru	! @nh36	25	533	burn the grass	76	mi³⁵ŋa̱⁵⁵	to burn (transitive)	?	?	?	burn the grass on wasteland v.	mi³⁵ ŋa̱⁵⁵  | 1610.31	Langsu (Luxi) TBL	25	CVTCVT	m i ³⁵ ◦ ŋ a̱ ⁵⁵
1522	Xiandao	! @nh36	0 0 0 2	260	burn the grass	822	n̥ɛ³⁵	the grass	n̥ ɛ ³⁵	?	?	burn the grass on wasteland v.	n̥ɛ³⁵  | 1610.29	Achang (Xiandao) TBL	2	CVT	n̥ ɛ ³⁵
3123	Xiandao	! @nh36	0 0 0 2 0	529	burn the grass	76	n̥ɛ³⁵	to burn (transitive)	n̥ ɛ ³⁵	?	?	burn the grass on wasteland v.	n̥ɛ³⁵  | 1610.29	Achang (Xiandao) TBL	2	CVT	n̥ ɛ ³⁵
#
100	Achang_Lianghe	! @nh36	1	22	cold	1427	tʂhɑŋ³¹	cold	tʂʰ ɑ ŋ ³¹	?	?	cold (weather, water)	tʂhɑŋ³¹  | 1473.03	Achang (Lianghe) JZ-Achang	1	CVcT	tʂh ɑ ŋ ³¹
101	Achang_Longchuan	! @nh36	2	21	cold	1427	kʐuat⁵⁵	cold	kʐ u a t ⁵⁵	?	?	cold (weather, water)	kʐuat⁵⁵  | 1063.28	Achang (Longchuan) TBL	2	CCVcT	k ʐ ua t ⁵⁵
102	Achang_Luxi	! @nh36	3	23	cold	1427	tsiam⁵⁵	cold	ts i a m ⁵⁵	?	?	cold (weather, water)	tsiam⁵⁵  | 460.9	Achang (Luxi) JZ-Achang	3	CVcT	ts ia m ⁵⁵
104	Atsi	! @nh36	2	21	cold	1427	kjoʔ²¹	cold	k j o ʔ ²¹	?	?	cold (weather, water)	kjoʔ²¹  | 1063.30	Atsi [Zaiwa] TBL	2	CCVcT	k j o ʔ ²¹
105	Bola	! @nh36	2	21	cold	1427	kjaʔ³¹	cold	k j a ʔ ³¹	?	?	cold (weather, water)	kjaʔ³¹  | 1063.32	Bola (Luxi) TBL	2	CCVcT	k j a ʔ ³¹
107	Lashi	! @nh36	4	24	cold	1427	ŋaːm⁵⁵	cold	ŋ aː m ⁵⁵	?	?	cold (weather, water)	ŋaːm⁵⁵  | 1063.33	Leqi (Luxi) TBL	4	CVcT	ŋ aː m ⁵⁵
106	Maru	! @nh36	2	21	cold	1427	kjɔʔ³¹	cold	k j ɔ ʔ ³¹	?	?	cold (weather, water)	kjɔʔ³¹  | 1063.31	Langsu (Luxi) TBL	2	CCVcT	k j ɔ ʔ ³¹
103	Xiandao	! @nh36	2	21	cold	1427	kʐot⁵⁵	cold	kʐ o t ⁵⁵	?	?	cold (weather, water)	kʐot⁵⁵  | 1063.29	Achang (Xiandao) TBL	2	CCVcT	k ʐ o t ⁵⁵
#
108	Achang_Lianghe	! @nh36	1 2	28	dirty	1429	lɑ³¹thɑ⁵⁵	dirty	l ɑ ³¹ + tʰ ɑ ⁵⁵	?	?	dirty	lɑ³¹ thɑ⁵⁵  | 464.27	Achang (Lianghe) JZ-Achang	1 2	CVTCVT	l ɑ ³¹ ◦ th ɑ ⁵⁵
109	Achang_Longchuan	! @nh36	3	26	dirty	1429	ək³⁵	dirty	ə k ³⁵	?	?	dirty	ək³⁵  | 1086.28	Achang (Longchuan) TBL	3	VcT	ə k ³⁵
110	Achang_Luxi	! @nh36	0 4	25	dirty	1429	tshaʔ⁵⁵	dirty	tsʰ a ʔ ⁵⁵	?	?	dirty	tshaʔ⁵⁵  | 606	Achang (Luxi) JZ-Achang	4	CVcT	tsh a ʔ ⁵⁵
112	Atsi	! @nh36	0 4	25	dirty	1429	tʃhaʔ⁵⁵	dirty	tʃʰ a ʔ ⁵⁵	?	?	dirty	tʃhaʔ⁵⁵  | 1086.30	Atsi [Zaiwa] TBL	4	CVcT	tʃh a ʔ ⁵⁵
