# Wordlist

# DATA
ID	CHECK	CLUSTERFORMAT	CLUSTERID	COGID	CONCEPT	CONCEPTID	CONCEPT_VARIANTS	DOCULECT	FORM_VARIANTS	HOMOPHONES	ID_BACK	IPA	METAGLOSS	MORPHEMES	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS
10	-	2 3 0	1	137	all	1	0	Maru	0	0	5	pəŋ³¹ʃɔʔ⁵⁵	all	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	all 1	pəŋ³¹ ʃɔʔ⁵⁵   | 0962.31 | 0963.31	Langsu (Luxi) TBL	2 3	CVcTCVcT	p ə ŋ ³¹ ◦ ʃ ɔ ʔ ⁵⁵
11	-	0 3 0	1	137	all	1	0	Maru_B	0	0	12	lɔ̱̃⁵⁵	all	l ɔ̱̃ ⁵⁵	all 3	lɔ̱̃⁵⁵  | 999.43	Maru [Langsu] ZMYYC	3	CVVT	l ɔ̱̃ ∼ ⁵⁵
12	-	9	5	706	all	1	0	Xiandao	0	0	13	chot⁵⁵	all	c h o t ⁵⁵	all 4	chot⁵⁵  | 0962.29 | 0963.29	Achang (Xiandao) TBL	9	CVcT	ch o t ⁵⁵
13	-	0 3 4	1	137	all	1	0	Atsi	0	0	7	lu̱ŋ⁵⁵la̱ŋ⁵⁵	all	l u̱ ŋ ⁵⁵ + l a̱ ŋ ⁵⁵	all 2	lu̱ŋ⁵⁵ la̱ŋ⁵⁵  | 0962.30	Atsi [Zaiwa] TBL	3 4	CVcTCVcT	l u̱ ŋ ⁵⁵ ◦ l a̱ ŋ ⁵⁵
14	-	5 6 0	4	569	all	1	0	Bola	0	0	8	a³¹la̱p⁵⁵	all	a ³¹ + l a̱ p ⁵⁵	all 2	a³¹ la̱p⁵⁵  | 0962.32	Bola (Luxi) TBL	5 6	VTCVcT	a ³¹ ◦ l a̱ p ⁵⁵
15	-	5 0 7	4	569	all	1	0	Old_Burmese	0	0	9	?	all	a ³ + l u ṁ ³	all 2	? | ?	Burmese (Written) ZMYYC	5 7	VTCVcT	0
16	-	0	0	0	all	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
128	-	1	8	1109	bad	2	0	Achang_Lianghe	0	0	46	kɑŋ³¹	bad	k ɑ ŋ ³¹	bad	kɑŋ³¹  | 158.39	Achang (Lianghe) JZ-Achang	1	CVcT	k ɑ ŋ ³¹
129	-	0 2	9	1127	bad	2	0	Achang_Longchuan	0	0	47	tɕa⁵⁵	bad	tɕ a ⁵⁵	bad	tɕa⁵⁵  | 1053.28	Achang (Longchuan) TBL	2	CVT	tɕ a ⁵⁵
130	-	1	8	1109	bad	2	0	Achang_Luxi	0	0	48	kaŋ⁵¹	bad	k a ŋ ⁵¹	bad	kaŋ⁵¹  | 304.2	Achang (Luxi) JZ-Achang	1	CVcT	k a ŋ ⁵¹
131	-	4	10	16	bad	2	0	Atsi	0	0	50	then²¹	bad	tʰ e n ²¹	bad	then²¹  | 1053.30	Atsi [Zaiwa] TBL	4	CVcT	th e n ²¹
132	-	5 6	11	31	bad	2	0	Bola	0	0	51	a³¹kai⁵⁵	bad	a ³¹ + k a i ⁵⁵	bad	a³¹ kai⁵⁵  | 1053.32	Bola (Luxi) TBL	5 6	VTCVT	a ³¹ ◦ k ai ⁵⁵
133	-	7	12	42	bad	2	0	Burmese_ZMYYC	0	0	52	cho³	bad	c h o ³	bad	cho³  | 861.39	Burmese (Written) ZMYYC	7	CVT	ch o ³
134	-	1	8	1109	bad	2	0	Hpun	0	0	55	măkɔ̀ŋ	bad	?	bad (= 'not good')	măkɔ̀ŋ  | 0217.23	Hpun (Northern) EJAH-Hpun	1	CVCVc	m ă ◦ k ɔ̀ ŋ
135	-	9	13	54	bad	2	0	Lashi	0	bad // to collapse	54	pjɔːʔ³¹	bad	p j ɔː ʔ ³¹	bad	pjɔːʔ³¹  | 1053.33	Leqi (Luxi) TBL	9	CCVcT	p j ɔː ʔ ³¹
136	-	8	14	65	bad	2	0	Maru	0	0	53	kɔi³⁵	bad	k ɔ i ³⁵	bad	kɔi³⁵  | 1053.31	Langsu (Luxi) TBL	8	CVT	k ɔi ³⁵
137	-	3 2	9	1127	bad	2	0	Xiandao	0	0	49	n³¹cɛ⁵⁵	bad	n ³¹ + c ɛ ⁵⁵	bad	n³¹ cɛ⁵⁵  | 1053.29	Achang (Xiandao) TBL	3 2	CTCVT	n ³¹ c ɛ ⁵⁵
138	-	7	12	42	bad	2	0	Old_Burmese	0	0	52	?	bad	c h o ³	bad	? | ?	Burmese (Written) ZMYYC	7	CVT	0
139	-	0	0	0	bad	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
218	-	1	105	10	be on the other side	3	0	Achang_Longchuan	0	0	577	xuaŋ³¹	other	x u a ŋ ³¹	be on the other side (of a riv v.	xuaŋ³¹  | 1343.28	Achang (Longchuan) TBL	1	CVcT	x ua ŋ ³¹
219	-	2	104	9	be on the other side	3	0	Atsi	0	0	579	kjo̱⁵¹	other	k j o̱ ⁵¹	be on the other side (of a riv v.	kjo̱⁵¹  | 1343.30	Atsi [Zaiwa] TBL	2	CCVT	k j o̱ ⁵¹
220	-	2	104	9	be on the other side	3	0	Bola	0	0	580	kja̱⁵⁵	other	k j a̱ ⁵⁵	be on the other side (of a riv v.	kja̱⁵⁵  | 1343.32	Bola (Luxi) TBL	2	CCVT	k j a̱ ⁵⁵
221	-	2	104	9	be on the other side	3	0	Lashi	0	0	582	kjɔ̱ː³³	other	k j ɔ̱ː ³³	be on the other side (of a riv v.	kjɔ̱ː³³  | 1343.33	Leqi (Luxi) TBL	2	CCVT	k j ɔ̱ː ³³
222	-	2	104	9	be on the other side	3	0	Maru	0	0	581	kjɔ̱³¹	other	k j ɔ̱ ³¹	be on the other side (of a riv v.	kjɔ̱³¹  | 1343.31	Langsu (Luxi) TBL	2	CCVT	k j ɔ̱ ³¹
223	-	1	105	10	be on the other side	3	0	Xiandao	0	0	578	xɔŋ³¹	other	x ɔ ŋ ³¹	be on the other side (of a riv v.	xɔŋ³¹  | 1343.29	Achang (Xiandao) TBL	1	CVcT	x ɔ ŋ ³¹
224	-	0	0	0	be on the other side	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
309	-	1 0 0	15	79	big	4	0	Achang_Lianghe	0	big // thick (diameter)	56	kɯ³¹	big	k ɯ ³¹	big	kɯ³¹  | 0964.29	Achang (Lianghe) JZ-Achang	1	CVT	k ɯ ³¹
310	-	1 0 0	15	79	big	4	0	Achang_Longchuan	0	big // wide	57	kʐə³¹	big	kʐ ə ³¹	big	kʐə³¹  | 0964.28	Achang (Longchuan) TBL	1	CCVT	k ʐ ə ³¹
311	-	1 0 0	15	79	big	4	0	Achang_Luxi	0	0	58	kɯ⁵¹	big	k ɯ ⁵¹	big	kɯ⁵¹  | 163	Achang (Luxi) JZ-Achang	1	CVT	k ɯ ⁵¹
312	-	1 0 0	15	79	big	4	0	Atsi	0	big // wide	60	ko̱²¹	big	k o̱ ²¹	big	ko̱²¹  | 0964.30	Atsi [Zaiwa] TBL	1	CVT	k o̱ ²¹
313	-	1 0 0	15	79	big	4	0	Bola	0	big // wide	61	kɔ̱³⁵	big	k ɔ̱ ³⁵	big	kɔ̱³⁵  | 0964.32	Bola (Luxi) TBL	1	CVT	k ɔ̱ ³⁵
314	-	1 0 0	15	79	big	4	0	Burmese_ZMYYC	0	0	62	krīḥ	big	k r i ³	big	kri³  | 800.39	Burmese (Written) ZMYYC	1	CCVT	k r ī ḥ
315	-	1 0 0	15	79	big	4	0	Hpun	chèʼ // chì // chè-ŋ	0	63	chèʼ	big	c h èʼ	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CVc	ch è ʔ
316	-	1 0 0	15	79	big	4	0	Lashi	0	big // wide	67	kjiː³³	big	k j iː ³³	big	kjiː³³  | 0964.33	Leqi (Luxi) TBL	1	CCVT	k j iː ³³
317	-	1 0 0	15	79	big	4	0	Maru	0	big // wide	66	ɣə³⁵	big	ɣ ə ³⁵	big	ɣə³⁵  | 0964.31	Langsu (Luxi) TBL	1	CVT	ɣ ə ³⁵
318	-	1 0 0	15	79	big	4	0	Maru_D	0	0	68	yī	big	y ī	big	yī  | 240	Maru [Langsu] JO-PB	1	CV	y ī
319	-	1 0 0	15	79	big	4	0	Xiandao	0	big // wide	59	kɯ³¹	big	k ɯ ³¹	big	kɯ³¹  | 0964.29	Achang (Xiandao) TBL	1	CVT	k ɯ ³¹
320	-	1 0 0	15	79	big	4	0	Old_Burmese	0	0	62	krīḥ	big	k r i ³	big	krīḥ | ?	Burmese (Written) ZMYYC	1	CCVT	k r ī ḥ
321	-	0	0	0	big	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
354	-	1	16	96	bitter	5	0	Achang_Lianghe	0	0	70	khɑ³¹	bitter	kʰ ɑ ³¹	bitter	khɑ³¹  | 0476.26	Achang (Lianghe) JZ-Achang	1	CVT	kh ɑ ³¹
355	-	1	16	96	bitter	5	0	Achang_Longchuan	0	0	71	xɔ³¹	bitter	x ɔ ³¹	bitter	xɔ³¹  | 1074.28	Achang (Longchuan) TBL	1	CVT	x ɔ ³¹
356	-	1	16	96	bitter	5	0	Achang_Luxi	0	0	72	kha⁵⁵	bitter	kʰ a ⁵⁵	bitter	kha⁵⁵  | 688.29	Achang (Luxi) JZ-Achang	1	CVT	kh a ⁵⁵
357	-	1	16	96	bitter	5	0	Atsi	0	0	74	kho²¹	bitter	kʰ o ²¹	bitter	kho²¹  | 1074.30	Atsi [Zaiwa] TBL	1	CVT	kh o ²¹
358	-	1	16	96	bitter	5	0	Bola	0	0	75	kha³⁵	bitter	kʰ a ³⁵	bitter	kha³⁵  | 1074.32	Bola (Luxi) TBL	1	CVT	kh a ³⁵
359	-	1	16	96	bitter	5	0	Burmese_ZMYYC	0	0	76	khāḥ	bitter	kʰ ā ḥ	bitter	khāḥ	Burmese (Written) ZMYYC	1	CVT	kh ā ḥ
360	-	1	16	96	bitter	5	0	Hpun	khà // khà-ŋ	0	77	khà	bitter	kʰ à	bitter	khà, khà-ŋ  | 311	Hpun (Northern) EJAH-Hpun	1	CV	kh à
361	-	1	16	96	bitter	5	0	Lashi	0	0	80	khɔː⁵⁵	bitter	kʰ ɔː ⁵⁵	bitter	khɔː⁵⁵  | 1074.33	Leqi (Luxi) TBL	1	CVT	kh ɔː ⁵⁵
362	-	1	16	96	bitter	5	0	Maru	0	0	79	khɔ³⁵	bitter	kʰ ɔ ³⁵	bitter	khɔ³⁵  | 1074.31	Langsu (Luxi) TBL	1	CVT	kh ɔ ³⁵
363	-	1	16	96	bitter	5	0	Xiandao	0	0	73	xɔ³¹	bitter	x ɔ ³¹	bitter	xɔ³¹  | 1074.29	Achang (Xiandao) TBL	1	CVT	x ɔ ³¹
364	-	1	16	96	bitter	5	0	Old_Burmese	0	0	76	khāḥ	bitter	kʰ ā ḥ	bitter	khāḥ | ?	Burmese (Written) ZMYYC	1	CVT	kh ā ḥ
365	-	0	0	0	bitter	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
366	-	1 0 2	17	111	black	6	0	Achang_Lianghe	0	0	81	ɑ³¹nɑ³¹	black	ɑ ³¹ + n ɑ ³¹	black	ɑ³¹ nɑ³¹  | 1147.20	Achang (Lianghe) JZ-Achang	1 2	VTCVT	ɑ ³¹ ◦ n ɑ ³¹
367	-	4	18	125	black	6	0	Achang_Longchuan	0	0	82	lɔk⁵⁵	black	l ɔ k ⁵⁵	black	lɔk⁵⁵  | 1005.28	Achang (Longchuan) TBL	4	CVcT	l ɔ k ⁵⁵
368	-	0 0 2	17	111	black	6	0	Achang_Luxi	0	0	83	na⁵¹	black	n a ⁵¹	black	na⁵¹  | 0124.41	Achang (Luxi) JZ-Achang	2	CVT	n a ⁵¹
369	-	0 0 2	17	111	black	6	0	Atsi	0	0	85	noʔ²¹	black	n o ʔ ²¹	black	noʔ²¹  | 1005.30	Atsi [Zaiwa] TBL	2	CVcT	n o ʔ ²¹
370	-	0 0 2	17	111	black	6	0	Bola	0	0	86	naʔ³¹	black	n a ʔ ³¹	black	naʔ³¹  | 1005.32	Bola (Luxi) TBL	2	CVcT	n a ʔ ³¹
371	-	0 0 2	17	111	black	6	0	Burmese_ZMYYC	0	0	87	nak	black	n a k	black	nak	Burmese (Written) ZMYYC	2	CVc	n a k
372	-	0 3 2	17	111	black	6	0	Hpun	0	0	88	kănᴜ̀ʔ	black	k ă + n ᴜ̀ ʔ	black	kănᴜ̀ʔ  | 789.41	Hpun (Northern) EJAH-Hpun	3 2	CVCVc	k ă ◦ n ᴜ̀ ʔ
373	-	0 0 2	17	111	black	6	0	Lashi	0	0	90	nɔːʔ³¹	black	n ɔː ʔ ³¹	black	nɔːʔ³¹  | 1005.33	Leqi (Luxi) TBL	2	CVcT	n ɔː ʔ ³¹
374	-	0 0 2	17	111	black	6	0	Maru	0	0	89	nɔʔ³¹	black	n ɔ ʔ ³¹	black	nɔʔ³¹  | 1005.31	Langsu (Luxi) TBL	2	CVcT	n ɔ ʔ ³¹
375	-	0 0 2	17	111	black	6	0	Xiandao	0	0	84	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	black	nɔʔ⁵⁵  | 1005.29	Achang (Xiandao) TBL	2	CVcT	n ɔ ʔ ⁵⁵
376	-	0 0 2	17	111	black	6	0	Old_Burmese	0	0	87	nak	black	n a k	black	nak | ?	Burmese (Written) ZMYYC	2	CVc	n a k
377	-	0	0	0	black	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
430	-	1 2	20	157	blunt	7	0	Achang_Lianghe	0	0	91	n³¹thɑ³¹	blunt	n ³¹ + tʰ ɑ ³¹	blunt / dull	n³¹ thɑ³¹  | 1388.19	Achang (Lianghe) JZ-Achang	1 2	CTCVT	n ³¹ ◦ th ɑ ³¹
431	-	3	19	136	blunt	7	0	Achang_Longchuan	0	0	92	təm³⁵	blunt	t ə m ³⁵	blunt / dull	təm³⁵  | 1021.28	Achang (Longchuan) TBL	3	CVcT	t ə m ³⁵
432	-	3	19	136	blunt	7	0	Achang_Luxi	0	0	93	tɔp³¹	blunt	t ɔ p ³¹	blunt / dull	tɔp³¹  | 1278.28	Achang (Luxi) JZ-Achang	3	CVcT	t ɔ p ³¹
433	-	3	19	136	blunt	7	0	Atsi	0	0	95	tum²¹	blunt	t u m ²¹	blunt / dull	tum²¹  | 1021.30	Atsi [Zaiwa] TBL	3	CVcT	t u m ²¹
434	-	1 2	20	157	blunt	7	0	Bola	0	0	96	a³¹thaʔ⁵⁵	blunt	a ³¹ + tʰ a ʔ ⁵⁵	blunt / dull	a³¹ thaʔ⁵⁵  | 1021.32	Bola (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th a ʔ ⁵⁵
435	-	3	19	136	blunt	7	0	Burmese_ZMYYC	0	0	97	tuṁ³	blunt	t u ṁ ³	blunt / dull	tuṁ³  | 871.39	Burmese (Written) ZMYYC	3	CVcT	t u ṁ ³
436	-	1 2	20	157	blunt	7	0	Lashi	0	0	99	a³¹thɔʔ⁵⁵	blunt	a ³¹ + tʰ ɔ ʔ ⁵⁵	blunt / dull	a³¹ thɔʔ⁵⁵  | 1021.33	Leqi (Luxi) TBL	1 2	VTCVcT	a ³¹ ◦ th ɔ ʔ ⁵⁵
437	-	3	19	136	blunt	7	0	Maru	0	0	98	tam³⁵	blunt	t a m ³⁵	blunt / dull	tam³⁵  | 1021.31	Langsu (Luxi) TBL	3	CVcT	t a m ³⁵
438	-	3	19	136	blunt	7	0	Xiandao	0	0	94	tum³¹	blunt	t u m ³¹	blunt / dull	tum³¹  | 1021.29	Achang (Xiandao) TBL	3	CVcT	t u m ³¹
439	-	3	19	136	blunt	7	0	Old_Burmese	0	0	97	?	blunt	t u ṁ ³	blunt / dull	? | ?	Burmese (Written) ZMYYC	3	CVcT	0
440	-	0	0	0	blunt	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
475	-	0 0 1 2 0	448	485	boiled water	8	0	Achang_Longchuan	0	0	2697	ti⁵⁵su⁵⁵	the water	t i ⁵⁵ + s u ⁵⁵	water (boiled) n	ti⁵⁵ su⁵⁵  | 0453.28	Achang (Longchuan) TBL	1 2	CVTCVT	t i ⁵⁵ ◦ s u ⁵⁵
476	-	4 0 0 0 3	448	485	boiled water	8	0	Atsi	0	0	2699	vui⁵¹pu⁵¹	the water	v u i ⁵¹ + p u ⁵¹	water (boiled) n	vui⁵¹ pu⁵¹  | 0453.30	Atsi [Zaiwa] TBL	4 3	CVTCVT	v ui ⁵¹ ◦ p u ⁵¹
477	-	4 5 0 0 0	448	485	boiled water	8	0	Bola	0	0	2700	ɣəi⁵⁵lauŋ⁵⁵	the water	ɣ ə i ⁵⁵ + l a u ŋ ⁵⁵	water (boiled) n	ɣəi⁵⁵ lauŋ⁵⁵  | 0453.32	Bola (Luxi) TBL	4 5	CVTCVcT	ɣ əi ⁵⁵ ◦ l au ŋ ⁵⁵
478	-	4 5 0 0 0	448	485	boiled water	8	0	Lashi	0	0	2702	kjei³¹luŋ³¹	the water	k j e i ³¹ + l u ŋ ³¹	water (boiled) n	kjei³¹ luŋ³¹  | 0453.33	Leqi (Luxi) TBL	4 5	CCVTCVcT	k j ei ³¹ ◦ l u ŋ ³¹
479	-	4 5 0 0 0	448	485	boiled water	8	0	Maru	0	0	2701	ɣək³¹lauŋ³¹	the water	ɣ ə k ³¹ + l a u ŋ ³¹	water (boiled) n	ɣək³¹ lauŋ³¹  | 0453.31	Langsu (Luxi) TBL	4 5	CVcTCVcT	ɣ ə k ³¹ ◦ l au ŋ ³¹
480	-	0 0 1 0 3	448	485	boiled water	8	0	Xiandao	0	0	2698	ti⁵⁵pu⁵⁵	the water	t i ⁵⁵ + p u ⁵⁵	water (boiled) n	ti⁵⁵ pu⁵⁵  | 0453.29	Achang (Xiandao) TBL	1 3	CVTCVT	t i ⁵⁵ ◦ p u ⁵⁵
481	-	0	0	0	boiled water	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
581	-	1 0 0 2	260	227	burn the grass	9	0	Achang_Longchuan	0	0	1521	ʐa⁵⁵ŋ̊eʔ⁵⁵	the grass	ʐ a ⁵⁵ + ŋ̊ e ʔ ⁵⁵	burn the grass on wasteland v.	ʐa⁵⁵ ŋ̊eʔ⁵⁵  | 1610.28	Achang (Longchuan) TBL	1 2	CVTCVcT	ʐ a ⁵⁵ ◦ ŋ̊ e ʔ ⁵⁵
582	-	0 3 4 2	260	227	burn the grass	9	0	Atsi	0	0	1523	mup²¹jo⁵¹ŋje̱⁵⁵	the grass	m u p ²¹ + j o ⁵¹ + ŋ j e̱ ⁵⁵	burn the grass on wasteland v.	mup²¹ jo⁵¹ ŋje̱⁵⁵  | 1610.30	Atsi [Zaiwa] TBL	3 4 2	CVcTCVTCCVT	m u p ²¹ ◦ j o ⁵¹ ◦ ŋ j e̱ ⁵⁵
583	-	0 0 0 2	260	227	burn the grass	9	0	Bola	0	0	1524	ŋjɛ³⁵	the grass	ŋ j ɛ ³⁵	burn the grass on wasteland v.	ŋjɛ³⁵  | 1610.32	Bola (Luxi) TBL	2	CCVT	ŋ j ɛ ³⁵
584	-	0 0 4 2	260	227	burn the grass	9	0	Lashi	0	0	1526	jo³¹ŋɛː⁵³	the grass	j o ³¹ + ŋ ɛː ⁵³	burn the grass on wasteland v.	jo³¹ ŋɛː⁵³  | 1610.33	Leqi (Luxi) TBL	4 2	CVTCVT	j o ³¹ ◦ ŋ ɛː ⁵³
585	-	5	261	229	burn the grass	9	0	Maru	0	0	1525	mi³⁵ŋa̱⁵⁵	the grass	?	burn the grass on wasteland v.	mi³⁵ ŋa̱⁵⁵  | 1610.31	Langsu (Luxi) TBL	5	CVTCVT	m i ³⁵ ◦ ŋ a̱ ⁵⁵
586	-	0 0 0 2	260	227	burn the grass	9	0	Xiandao	0	0	1522	n̥ɛ³⁵	the grass	n̥ ɛ ³⁵	burn the grass on wasteland v.	n̥ɛ³⁵  | 1610.29	Achang (Xiandao) TBL	2	CVT	n̥ ɛ ³⁵
587	-	0	0	0	burn the grass	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
671	-	1	22	186	cold	10	0	Achang_Lianghe	0	0	100	tʂhɑŋ³¹	cold	tʂʰ ɑ ŋ ³¹	cold (weather, water)	tʂhɑŋ³¹  | 1473.03	Achang (Lianghe) JZ-Achang	1	CVcT	tʂh ɑ ŋ ³¹
672	-	2	21	169	cold	10	0	Achang_Longchuan	0	0	101	kʐuat⁵⁵	cold	kʐ u a t ⁵⁵	cold (weather, water)	kʐuat⁵⁵  | 1063.28	Achang (Longchuan) TBL	2	CCVcT	k ʐ ua t ⁵⁵
673	-	3	23	203	cold	10	0	Achang_Luxi	0	0	102	tsiam⁵⁵	cold	ts i a m ⁵⁵	cold (weather, water)	tsiam⁵⁵  | 460.9	Achang (Luxi) JZ-Achang	3	CVcT	ts ia m ⁵⁵
674	-	2	21	169	cold	10	0	Atsi	0	cold // the snow	104	kjoʔ²¹	cold	k j o ʔ ²¹	cold (weather, water)	kjoʔ²¹  | 1063.30	Atsi [Zaiwa] TBL	2	CCVcT	k j o ʔ ²¹
675	-	2	21	169	cold	10	0	Bola	0	0	105	kjaʔ³¹	cold	k j a ʔ ³¹	cold (weather, water)	kjaʔ³¹  | 1063.32	Bola (Luxi) TBL	2	CCVcT	k j a ʔ ³¹
676	-	4	24	214	cold	10	0	Lashi	0	0	107	ŋaːm⁵⁵	cold	ŋ aː m ⁵⁵	cold (weather, water)	ŋaːm⁵⁵  | 1063.33	Leqi (Luxi) TBL	4	CVcT	ŋ aː m ⁵⁵
677	-	2	21	169	cold	10	0	Maru	0	cold // ten cents (classifier)	106	kjɔʔ³¹	cold	k j ɔ ʔ ³¹	cold (weather, water)	kjɔʔ³¹  | 1063.31	Langsu (Luxi) TBL	2	CCVcT	k j ɔ ʔ ³¹
678	-	2	21	169	cold	10	0	Xiandao	0	0	103	kʐot⁵⁵	cold	kʐ o t ⁵⁵	cold (weather, water)	kʐot⁵⁵  | 1063.29	Achang (Xiandao) TBL	2	CCVcT	k ʐ o t ⁵⁵
679	-	0	0	0	cold	0	-	Proto-Burmese	-	-	-	0	-	-	0	0	-	0	-	0
#
935	-	1 2	28	276	dirty	11	0	Achang_Lianghe	0	0	108	lɑ³¹thɑ⁵⁵	dirty	l ɑ ³¹ + tʰ ɑ ⁵⁵	dirty	lɑ³¹ thɑ⁵⁵  | 464.27	Achang (Lianghe) JZ-Achang	1 2	CVTCVT	l ɑ ³¹ ◦ th ɑ ⁵⁵
936	-	3	26	245	dirty	11	0	Achang_Longchuan	0	0	109	ək³⁵	dirty	ə k ³⁵	dirty	ək³⁵  | 1086.28	Achang (Longchuan) TBL	3	VcT	ə k ³⁵
937	-	0 4	25	226	dirty	11	0	Achang_Luxi	0	0	110	tshaʔ⁵⁵	dirty	tsʰ a ʔ ⁵⁵	dirty	tshaʔ⁵⁵  | 606	Achang (Luxi) JZ-Achang	4	CVcT	tsh a ʔ ⁵⁵
938	-	0 4	25	226	dirty	11	0	Atsi	0	0	112	tʃhaʔ⁵⁵	dirty	tʃʰ a ʔ ⁵⁵	dirty	tʃhaʔ⁵⁵  | 1086.30	Atsi [Zaiwa] TBL	4	CVcT	tʃh a ʔ ⁵⁵
939	-	5 4	25	226	dirty	11	0	Atsi_B	kot²¹ // tʃhaʔ⁵⁵	0	113	kot²¹	dirty	k o t ²¹ + tʃʰ a ʔ ⁵⁵	dirty	kot²¹; tʃhaʔ⁵⁵  | 854.42	Atsi [Zaiwa] ZMYYC	5 4	CVcTCVcT	k o t ²¹
940	-	6	27	260	dirty	11	0	Bola	0	0	114	lu̱³⁵	dirty	l u̱ ³⁵	dirty	lu̱³⁵  | 1086.32	Bola (Luxi) TBL	6	CVT	l u̱ ³⁵
941	-	7 8	29	287	dirty	11	0	Burmese_ZMYYC	0	0	115	ñacpat	dirty	ȵ ɑ + s p ɑ t	dirty	ȵɑs pɑt  | 854.39	Burmese (Written) ZMYYC	7 8	CVcCVc	ñ a c ◦ p a t
