number	meaning	PLB	PB	Spoken Burmese	Atsi	Maru	PL	Lisu	Lahu	Akha	notes	MM notes
61	chaff	phwe²	phwe²	phwênù	phùicʔap	wòʔphōi	phə²	dzāphə̀	vāʔphə̂	-		
62	change	-	-	-	-	-	pa¹	pâ	pā	pá		
63	chest (body part)	-	γaŋ¹ᵃ	yín	vâŋkàŋ	-	-	-	-	-		
64	child, young	-	-	-	-	-	ya²	řà	yâ	zà		
65	chili	-	phyik	-	šìphyìk	chāphyák	-	-	-	-		
66	chin	-	-	-	-	-	ba²	bàmə̀dû	pâpīlī	-		
67	city	-	-	-	-	-	mo²	mu̸	mɨ̂mǐ	-		
68	clench fist	tsʔup	tsʔup	shouʔ	tsʔup	-	tsuʔ²	-	pə̄cɨ́ʔ	-	PL: La	
69	cloth	-	-	-	-	-	pha¹	-	phā	pá		
70	cold (personally)	kyaʔ²	kyaʔ	-	kyoʔ	kyòʔ	g̯aʔ²	-	k̯áʔ	gāʔ		
71	come	la¹ᵃ	la¹ᵃ	lá	lô	-	la¹ᵃ	lā	lǎ	lá		
72	come out-1 (emerge)	-	thwaʔ	thweʔ	thoʔlô	-	-	-	-	-		
73	come out-2	-	-	-	-	-	doʔ²	dôlā	tɔ́ʔlā	dōʔlá		
74	copper	-	-	-	-	-	g̯ə²	-	ḳə̂	gì̸		
75	copulate	-	lo²	lôu	láu	lùk	-	-	-	-		
76	cough	-	-	-	-	-	cei²	tshə̀cu̸	cɨ̀	-		
77	creeper	-	nwe¹ᵃ	ănwé	nûi	ănòi	-	-	-	-		
78	crooked	kok¹	kok	kauʔ	-	-	g̣oʔ¹	-	ḳɔʔ	γɔ̀ʔ	PB: Bu	
79	cross (as water) (verb)	-	ku²	kû	kú	kāu	-	-	-	-		
80	crossbow-1	-	lei²	lêi	lài	lātsʔok	-	-	-	-		
81	crossbow-2	-	-	-	-	-	k̯haʔ²	chǎ	k̯háʔ	kāʔ	Lisu: IF	
82	cry (sob)	ŋo¹ᵃ	ŋo¹ᵃ	ŋóu	ŋâu	ŋùk	ŋo¹	ŋū	-	ŋǿ		
83	cubit	-	toŋ¹ᵃ	táun	tûŋ	tóŋ	-	-	-	-	Maru: T	
84	cucumber	-	khwa²	θăkhwâ	tûŋkhò	lăkhù	-	-	-	-		
85	cup	-	khwaʔ	-	khweʔ	khoʔ	-	-	-	-		
86	dam	-	tshiŋ¹ᵇ	shé	tshíŋ	thāmtʔáŋ	-	-	-	-	Maru: IT	
87	dance	-	ka³	kà	kà	kú	-	kwâ	-	-	Maru: F; Lisu: I	
88	day (24 hours)	-	nei³	nèi	nyī	-	-	-	-	-		
89	deaf	-	-	-	-	-	bɔ²	-	pɔ̂	bɔ̀		
90	deer (sambhur)	-	tshat	shaʔ	tshat	tshéʔ	-	-	-	-		
91	deer (barking)	chei¹ᵇ	chei¹ᵇ	-	chôchí	-	chei¹	chū̸	chɨ̄	cíhà	PB: At	
92	destroy	phyaʔ²	phyaʔ	-	phyeʔ	phyoʔ	phyaʔ²	phyǎ	-	-		PL and Lisu columns misplaced
93	die	šei¹ᵃ	šei¹ᵃ	θéi	šît	ši	sei¹	sū̸	sɨ̄	ší		
94	difficult	-	γo²	-	vúi	măγuk	-	-	-	-	Maru: ‘easy’ cf. neg pref.	
95	dig	tu²	tu²	tû	tú	tāu	du²	dù	dû	dù	Lahu: I	
96	disappear (lost)	-	pyok	-	pyuʔ	pyòk	-	-	-	-		
97	dog	-	khwei²	khwêi	khùi	lăkhā	-	-	-	-		
98	dove	-	kʔyo²	jôu	phúŋkʔùi	-	-	-	-	-	BSB: V	
99	draw water	khap²	khap/khat	khaʔ	khâm	γìtkhéʔ	ḳhap	-	-	xɔ̀ʔ	Atsi: FT; PL: Ak	
100	dream (cf. sleep)	maʔ²	maʔ	eiʔmeʔ	moʔ	yapmoʔ	maʔ²	yiʔmya	yī̸ʔmaʔ	yuʔmāʔ	Lisu: Y	
101	drink-1	-	šok	θauʔ	šuʔ	šók	-	-	-	-		
102	drink-2	-	-	-	-	-	dɔ¹	dɔ̄	dɔ̌	dɔ́	Lahu: I	
103	drum	-	tsiŋ¹ᵃ	sí	tsîŋ	tsàŋ	-	-	-	-	BSB: F	
104	drunk (intoxicated)	-	-	-	-	-	yut¹	yiʔ	-	jíbàyɛ̀ʔ		
105	dry	-	kʔyok	chauʔ	kʔyuʔ	ăkʔyok	-	-	-	-		BSB, Atsi, Maru forms in the Atsi, Maru, PL columns; moved them into their proper positions
106	dry up	-	kʔan²	khân	kʔán	-	-	-	-	-		
107	dung-1	-	khyei²	chî	khyì	khyít	-	-	-	-	BSB: F	
108	dung-2	-	-	-	-	-	che²	chì	-	cè		
109	dusk (cf. sky)	-	mo²chut	môuchouʔ	màuchut	-	-	-	-	-		
110	dwell	-	nei¹ᵃ	néi	nyî	nà	-	-	-	-	Maru: F	
111	dye (vb.)	-	tsho²	shôu	tsháu	tshúk	-	-	-	-		
112	ear-1	-	na²ᶜ	nâ	nòphyò	nò	-	-	-	-		
113	ear-2	-	-	-	-	-	nʔa²bɔ¹	nápô	nàpɔ̄	nàbɔ́	Lisu: I	
114	earth-1	-	myei¹	myéi	mìkûŋ	myìt	-	-	-	-	Atsi: T	
115	earth-2	-	-	-	-	-	mi¹	mînæ̂	mǐg̯ə̌	mítsà		
116	easy-1	-	lwe¹ᵃ	lwé	lûi	-	-	-	-	-		
117	easy-2	-	-	-	-	-	sa¹	-	sā	sá		
118	eat	tsa²	tsa²	sâ	tsó	tsō	dza²	dzà	câ	dzà		
119	egg (cf. fowl)	u³	u³	ù	voʔū	γōʔáu	u³	áγáfû	g̣áʔū	yāūʔ	PL: La; Lisu: I, Akha: T	
120	eight-1	-	slit	šiʔ	šit	šéʔ	-	-	-	-	PB: C; Maru: F	Is Burling's 'eight-2' cognate?
121	eight-2	-	-	-	-	-	hyeʔ¹	heʔ	hí	yɛ̀ʔ	Lahu: FT	Is Burling's 'eight-1' cognate?
122	elephant	-	tshaŋ²	shín	-	tshà	-	-	-	-		
123	embrace	-	pʔa¹ᵃ	pheʔ	pʔô	pʔò	-	-	-	-	BSB: TF	
124	empty	-	-	-	-	-	g̣ɔ²	yígɔ̀	ḳɔ̂lɛ̄ʔ	-		
125	enclose	-	waŋ²ᶜ	wîn	váŋ	wàŋ	-	-	-	-	Maru: F	
126	endure	-	kham¹ᵇ	khán	khám	-	-	-	-	-		
127	enough	lok¹	lok	lauʔ	-	lòkwá	loʔ¹	loʔ	lɔ̄ʔ	lòʔ		
128	enter	-	waŋ¹ᵃ	wín	vâŋ	wà	-	-	-	-		
129	eye	myaʔ²	myaʔ	myeʔsì	myoʔ	myòʔ	myaʔ²	myâsə̀	mɛ́ʔsì	myāʔnī̸ʔ		
130	fall	kya³	kyaʔ	cà	-	pítkyó	g̯a³	-	-	gākā	PL: Ak	
131	far	wə²	we²	wêi	vé	ăwā	wə²	γə̀	və̂	-	Atsi: F; Lisu: I; PL: La	
132	fat	tshu¹ᵇ	tshu¹ᵇ	shú	tshú	tshàu	tshu¹	tshə̄	chū̸	tsú	Lisu: F	
133	fear	kyok²	kyok	cauʔ	kyuʔ	kyòk	g̯oʔ²	-	k̯ɔ́ʔ	-	PL:La	
134	female suffix	ma³	ma³	ămà	tùmō	tàumó	ma³	mămâ	mā	àmā	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'	
135	feather-body hair	mo³	mo³	ămwêi	šòmāu	múk	mo³	mû̸	ɔ̌mɨ̄	-	BSB: FT	
136	field (dry)	hya¹ᵃ	ya¹ᵃ	yá	yô	yò	hya¹	ha	hɛ̄	yá		
137	fight	-	pya²	-	pyoʔlʔúm	cʔópyò	-	-	-	-		
138	finger-1	-	nʔyo²	hnyôu	nʔyùi	nʔyuk	-	-	-	-		
139	finger-2	-	-	-	-	-	nʔo¹	-	nɔ̄	nǿ		
140	fire	mi²	mi²	mî	myì	mī	mi²	-	àmì	mì	Lahu: T	
141	firewood	-	thaŋ²	thîn	thàŋ	thā	-	-	-	-		
142	fish	ŋa²	ŋa²	ŋâ	ŋòtsò	ŋō	ŋa²	ŋwá	ŋâ	ŋà	Lisu: T	
143	five	ŋa²	ŋa²	ŋâ	ŋòlʔùm	ŋó	ŋa²	ŋwà	ŋâ	ŋà	Maru: T	
144	flame	-	šam¹ᵇ	hlyán	šám	šìn	-	-	-	-	BSB: I	
145	flea	-	lʔei²ᶜ	hlêi	khòʔlʔài	khălʔà	-	-	-	-		
146	flee	-	-	-	-	-	phɔ¹	-	phɔ̄	pɔ́		
147	flower-1 (noun)	-	pan²	pân	pàn	năpīn	-	-	-	-		
148	flower-2 (cf. tree-3)	-	-	-	-	-	weʔ²	sǐwê	sɨ́véʔ	áyɛ̄ʔ		
149	flower (classifier)	-	pwa³	-	pō	pú	-	-	-	-		
150	fly-gnat	-	pʔyup	phyouʔ	pʔyup	pʔyap	-	-	-	-		
151	fly-1 (verb)	pyan¹	pyan¹	pyán	-	-	byan¹	byø̄	pǒ	-	PB: Bu	
152	fly-2 (verb)	-	taŋ¹ᵇ	-	táŋ	tà	-	-	-	-		
153	follow	-	chaŋ²	chîn	cháŋ	-	-	-	-	-		
154	foot-leg	khyə¹ᵇ	khyei¹ᵇ	chéi	khyí	khyìt	k̯hə¹	-	k̯hə̄sɛ̄	àkɨ́		
155	four	-	-	-	-	-	o²	-	ɔ̂	ø̀		
156	fowl	kγaʔ²	kγaʔ	ceʔ	voʔ	γòʔ	γa²	-	g̣áʔ	-	PLB: C; PB: C; PL: Lahu	
157	frog	pʔa²	pʔa²	phâ	pʔò	pʔō	pa²	wúpá	pà	xàpà		
158	in front	-	hei³	šèi	hī	γítàu	-	-	-	-		
159	fruit	ši²ᶜ	ši²ᶜ	ăθî	šì	sákšì	si²	sə́sə̀	ísì	ásì	Maru: cf. 'tree-1'	
160	full	pyiŋ³	pyiŋ³	pyì	pyīŋ	pyáŋ	byiŋ³	bî	bî	byɔ̄n	Lahu: TIF	
161	garden	khyam¹ᵇ	khyam¹ᵇ	chán	khyám	khìnγìn	k̯ham¹	-	k̯hɔ̄	yákḿ	BSB: 'fence'; Maru 'wall' 	
162	get	γa³	γa³	yà	vō	théʔyù	γa³	-	g̣ā	zā	Maru: IFT	
163	ginger	-	chaŋ²	jîn	chàŋ	chākʔoʔ	-	-	-	-		
164	give	pei²	pei²	pêi	pyí	-	bi²	-	pî	bìʔ	PL: Lahu; Akha: T	
165	granary	-	cʔi¹ᵇ	cí	cʔí	cʔì	-	-	-	-	BSB: I	
166	grandchild	-	myei²ᶜ	myêi	-	myít	-	-	-	-		
167	grandfather	-	phyei²	ăphwâ	áphyì	phyít	-	-	-	-	BSB: F	
168	grandmother	-	pho²	ăphôu	áphàu	phúk	-	-	-	-		
169	grass-1	-	myaʔ	myeʔ	myoʔ	-	-	-	-	-		
170	grass-2	-	-	-	-	-	moʔ¹	moʔ	mɨ̄ʔ	mɔ̀ʔ		
171	green-1	-	nyo¹ᵃ	nyóu	nyûi	nyùʔ	-	-	-	-	BSB: 'brown'; Maru: G	Burling's green-2 looks cognate
172	green-2	-	-	-	-	-	nʔyo¹	-	ɔ̌nɔ̄	nyǿ	Lahu: 'yellow'	Burling's green-1 looks cognate
173	grow	-	yok	yauʔ	yuʔ	yòk	-	-	-	-		
174	hair	-	tsham¹ᵇ	shán	tshám	tshìn	-	-	-	-		
176	hammer	-	tu¹ᵃ	tú	păttû	tàu	-	-	thātū	-	Lahu: T	
177	hand	laʔ¹	laʔ	leʔ	loʔ	lòʔ	laʔ¹	læʔ	lāʔ	àlàʔ		
178	hat	-	mok	khămauʔ	muʔ	-	-	-	-	-		
179	have	-	-	-	-	-	dzɔ¹	dzɔ̄	cɔ̌	-		
180	head	u²	u²	û	ùkhuʔ	āu	u²	wúdû̸	-	ùdù		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.
181	hear	kya²	kya²	câ	kyó	kyō	g̯a²	-	k̯â	gà		
182	heart	-	-	-	-	-	ma³	nǐmâ	nīmāsì	nɨ̄mā		
183	heavy	lei²ᶜ	lei²ᶜ	lêi	lái	là	lei²	lì	-	-	PL: Lisu	
184	high	mʔyaŋ¹ᵃ	mʔyaŋ¹ᵃ	myìn	mʔyâŋ	mʔyà	mʔɔ¹	mô	mɨ	yɔ̄mɔ́n	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'	
185	hole (classifier)	-	-	-	-	-	ḳho¹	khū	ḳhɔ̄	-		
186	horns	khyo¹ᵇ	khyo¹ᵇ	ûjóu	khyúi	khyùʔ	k̯ho¹	-	ɔ̌k̯hɔ̄	-	BSB: V; Maru: G; PL: Lahu	
187	horse	myaŋ²	myaŋ²	myîn	myàŋ	myā	mɔ²	ámɔ̀	ímɨ	mɔ̀n	PL: Lisu; Lahu, Akha: F	
188	hot	lum¹ᵃ	lum¹ᵃ	lóun	lûm	làm	lum¹	-	lɛ̌	lḿ		
189	house	yum¹ᵇ	yum¹ᵇ	éin	yúm	yàm	yum¹	-	yɛ̌	-	PL: Lahu	
190	hundred	hya¹ᵃ	ya¹	yá	šó	yò	hya¹	hyā	hā	yá		
191	hungry	mut¹	mut	-	tsômut	-	mut¹	-	mʌ̄ʔ	hɔ̀mɛ̀ʔ	PB: At	
192	husband	-	laŋ¹ᵇ	lín	láŋ	là	-	-	-	-		
193	I	ŋa¹ᵃ	ŋa¹ᵃ	ŋá	ŋô	ŋò	a¹	ŋwā	ŋǎ	ŋá		(2 sg.) should be (1 sg.) in meaning column
194	ill	na¹ᵃ	na¹ᵃ	ná	nô	nò	na¹	nā	ānǎ	-		
195	insect, worm	po²	po²	pôu	pàu	păthòŋ	bo²	bù̸	pɨ̂	bø̀	Lisu: ‘silk’	
196	interrogative suffix	la²	la²	lâ	-	-	la²	là	-	-	PB: Bu; PL: Li	
197	intestine	u¹ᵇ	u¹ᵇ	ú	ú	àu	u¹	wū̸	-	bɔ̄ú		
198	iron	šam¹ᵇ	šam¹ᵇ	θán	šám	-	šam¹	xwɔ̄	sō	šḿ	Atsi: 'knife'	
199	itch	-	ya²	yâ	yó	-	-	-	-	-		
200	join	tshaʔ¹	tshaʔ	sheʔ	tshoʔ	tshóʔ	tshaʔ¹	-	-	tsàʔ	PL: Akha	
201	joints	-	tshik	ăshiʔ	ătshoʔ	tshák	-	-	-	-	Atsi: F	
202	key	-	tsaʔ	-	tsoʔ	tsòʔ	-	-	-	-		
203	kill-1	sat¹	sat	θaʔ	sat	séʔ	seʔ¹	-	-	dìsɛ̀ʔ	PL: Akha	
204	kill-2	-	-	-	-	-	di²	-	tîpɛ̀	dìsɛ̀ʔ		
205	kite (bird)	-	tsun¹ᵃ	sún	tsûn	tsùmkʔyā	-	-	-	-		
206	knead	-	ne¹ᵃ	né	nê	-	-	-	-	-		
207	know	-	-	θî	sé	-	si²	sʌ́	sì	sì	Burmese: T; Atsi: F; Lisu: FT	BSB: Burling left the grave tone (= creaky tone) unmarked; restored it
208	ladle	-	mʔut	hmouʔ	mut	mʔat	-	-	-	-	Atsi: I	
209	land	-	-	-	-	-	mi¹	-	(mɨ)mǐ	míxɔ̀n	Atsi: F	
210	laugh	-	γi¹	yí	vûi	yì	-	-	-	-		
211	leaf	phaʔ¹	phaʔ	pheʔyweʔ	phoʔ	ăwóʔ	phaʔ¹	-	sɨʔphāʔ	ápàʔ	Maru: I; Lahu: cf. 'tree-3'	
212	leak	-	yo¹ᵃ	yóu	yûithoʔ	-	-	-	-	-		
213	leech	wʔat¹	wʔat	-	-	wʔeʔnyùk	weʔ¹	weʔ	vēʔ	àyɛ̀ʔ	PB: Ma	
214	lick	-	yaʔ	yeʔ	yoʔ	yòʔ	weʔ¹	-	-	-		
215	lift	-	-	-	-	-	chi²	chù̸	chî	cì		
216	lightweight	-	-	-	-	-	lɔ¹	lō	lɔ̌			
217	little	-	ŋe¹ᵃ	ŋé	ŋê	-	-	-	-	-		
218	liver	siŋ²	siŋ²	ăθê	sìŋ	sāŋ	siŋ²	-	sɛ̀	šàtsɔ̀n	Akha: I	
219	loom	γaʔ¹	γaʔkan²	yeʔkânzín	voʔkàn	γòʔkīn	γaʔ¹	yaʔ	-	zàʔ		
220	louse	-	šam²/šan²	θân	-	šīn	-	-	-	-		
221	love	-	cʔit	chiʔ	cʔit	-	-	-	-	-		
222	lungs	-	tsʔut	ăshouʔ	tsʔut	-	-	-	-	-		
223	maggots	-	lok	lauʔ	luʔ	lòk	-	-	-	-		
224	male-1 (human)	-	yok	yauʔcâ	yuʔkê	yòkkài	-	-	-	-		
225	male-2 (human)		-	-	-	-	pa²	yípá	pà	-		
226	male-1 (animal)	-	pha³	phà	phō	phó	-	-	-	-		
227	male-2 (animal)	-	la²	lâ	àlò	-	-	-	-	-		
228	many	mya²	mya²	myâ	myó	-	mya²	-	-	γɔ̀myà	PL: Ak	
229	marrow	chaŋ¹	chaŋ¹	chínzí	-	-	chɔ¹	-	chɔ̄pɔ̄ɛ	-	PB: Bu; PL: Ak	
230	mature	-	γaŋ³	yìn	vāŋ	-	-	-	-	-		
231	meat	ša²	ša²	ăθâ	šò	šō	ša²	xwà	sà	šàjî		
232	medicine	chei²	chei²	-	chì	-	chei²	-	náʔchɨ̂	-	PB: At; PL: La	
233	middle	-	lat	laʔ	tsòlat	-	-	-	-	-		
234	monkey	myok¹	myok	myauʔ	myuʔ	myòk	myoʔ¹	myøʔ	mɔ̄ʔ	myɔ̀ʔ	Lisu: F	
235	month	-	khyap	-	khyap	khyéʔ	-	-	-	-		
236	moon	-	-	-	-	-	ba³	hābâ	hāpā	-		
237	morning	naʔ¹	naʔ	măneʔ	-	-	naʔ¹	næʔ	-	-	PB: Bu; PL: Li	
238	mortar (for rice)	tshum¹ᵇ	tshum¹ᵇ	shóun	tshúm	tshàm	tshum¹	-	chɛ̄máḳò	-	PL: La	
240	mountain	-	pum¹ᵃ	póun	pûm	pàm	-	-	-	-	BSB: 'piled up'	
241	mouth-1	mə²	mə²	mêisèi	-	-	mə²	mə̀nʌ̌	mə̂gə̌	mø̀bø̄	PB: Bu; BSB: 'chin'; Lahu: 'lip'; cf. 'skin'; Akha F	
242	mouth-2	-	nʔut	hnouʔ	nʔut	nʔat	-	-	-	-		
243	mule	-	la²ᶜ	lâ	-	lòtsè	-	-	-	-		
244	mushroom	mo¹ᵃ	mo¹ᵃ	hmóu	mâu	mùk	mo¹	mû̸	mǏ	-	BSB: A; Lisu: T	
245	nails (cf. hand)	-	siŋ²	ăθê	loʔsìŋ	lòʔsāŋ	-	læʔšù̸	lāʔsìkú	-	Maru: ‘claw’; Lisu, Lahu: I	
246	name-1	-	myiŋ¹ᵃ	myí	myîŋ	màŋ	-	-	-	-	Atsi: noun; Maru: Y	
247	name-2	mʔyiŋ¹ᵇ	mʔyiŋ¹ᵇ	-	mʔyíŋ	-	mʔyiŋ¹	myø̂	mɛ̄	cɔ́myɔ́n	PB: At; Atsi: verb; Lisu: F	
248	navel	chaʔ¹	chaʔ	cheʔ	choʔ	chóʔ	chaʔ¹	-	-	càʔtɔ́n	PL: Ak	
249	neck	-	liŋ¹ᵃtsiŋ²ᶜ	lé	lîŋtsîŋ	làŋtsàŋ	-	kə́tsí	-	-		
250	negative prefix	-	-	mă-	-	mă-	ma²	mà-	mâ-	mà-	BSB, Maru: R	
251	nephew-1	-	tu¹ᵇ	tú	tú	tàu	-	dû	-	-	Lisu: tone	
252	nephew-2 (cross)	-	o¹ᵇ	-	tsàáu	ùk	-	-	-	-		
253	nest	-	sut	ăθaiʔ	sut	ŋʔoʔsát	-	-	-	-	BSB: F	
254	net (finishing)	-	kun¹	kún	sùmkòn	kùm	-	-	-	-		
255	new	-	sik	ăθiʔ	sik	sák	-	-	-	-		
256	nine	ko²	ko²	kôu	kâu	kòʔ	g̣o²	-	ḳɔ̂	γø̀	PB: Bu; Atsi: tone; Maru: F	
257	nose	nʔa¹ᵇ	nʔa¹ᵇ	hná	nɂó	nʔò	nʔa¹	nâbī	nàḳhɔ̂	námɛ́	Lahu: tone	
258	old (of people)	maŋ²	maŋ²	mîn	màŋtsò	mā	mɔ²	-	mɔ̂	tsɔ́mɔ̀	Atsi: T	
259	old (of objects)	-	tsho²	shôu	ătshàu	ătshúk	-	-	-	-		
260	onion	-	sun¹ᵇ	ceʔθún	hùsún	hāu	-	-	-	-	Maru: I	
261	overtake	mʔi¹	mʔi¹	hmí	-	mʔyì	mʔi¹	gaʔmə̂	g̣āʔmī	-		
262	owl	-	khoŋ²pup	gínbouʔ	khùŋpup	khōŋpàp	-	-	-	-	BSB: 1st syl FT, 2nd syl V	
263	pair	tsum¹ᵃ	tsum¹ᵃ	sóun	tsûm	-	dzum¹	-	cɛ̄	-	PL: La	
264	palm sole	wa²	wa²	wâ	và	wō	wa²	-	-	zà	PL: Ak	
265	parrot (cf. bird)	cei²ᶜ	cei²ᶜ	cêihŋeʔ	cì	cìtàu	jei²	ájù̸	pɛ̄cɨ̂kā	ájíxàjè	Akha: T	
266	penis	nʔyi²	nʔyi²	-	nʔyì	nʔyī	nʔyi²	-	nìḳhɛ̄ʔ	-	PL: La	
267	person (noun)	-	-	-	-	-	tshɔ¹	tshɔ̄	chɔ̄	tsɔ́hà		
268	person (classifier)	yok²	yok	yauʔ	yuʔ	yòk	yoʔ	řô	-	-	PL: Li	
269	pick (harvest)	phyaʔ²	phyaʔ	-	phyoʔ	-	phyaʔ²	-	-	pyāʔ	PB: At; PL: Akha	Burling's At is an error for Ak; corrected this in Burling notes column
270	pig	waʔ¹	wa¹	weʔ	vaʔ	wòʔ	waʔ¹	wæʔ	vāʔ	àzàʔ		
