ID	DOCULECT	CONCEPT	DOCULECT_IS	CONCEPT_NUMBER_IS	VALUE_IS	VALUE	NOTES	NOTES_MM	COGID	SEGMENTS
8	Proto-Lolo	alive	PL	2	deʔ¹	deʔ¹	Akha: 'life'		2	d e ʔ ¹
9	Atsi	animal (classifier)	Atsi	3	tù	tù			3	t ù
10	Maru	animal (classifier)	Maru	3	tāu	tāu			3	t ā u
11	Proto-Burmish	animal (classifier)	PB	3	tu²	tu²			3	t u ²
12	Atsi	answer-1	Atsi	4	tʔú	tʔú			4	t ʔ ú
13	Maru	answer-1	Maru	4	tʔàu	tʔàu			4	t ʔ à u
14	Proto-Burmish	answer-1	PB	4	tʔu²ᶜ	tʔu²ᶜ			4	t ʔ u ²ᶜ
15	Rangoon	answer-1	Spoken Burmese	4	thû	thû			4	t h û
16	Akha	answer-2	Akha	5	xɔ̀ʔ	xɔ̀ʔ			5	x ɔ̀ ʔ
17	Proto-Lolo	answer-2	PL	5	ḳhoʔ¹	ḳhoʔ¹			5	ḳ h o ʔ ¹
18	Atsi	ant	Atsi	6	pâuvoʔ	pâuvoʔ			6	p â u + v o ʔ
19	Maru	ant	Maru	6	phyòγùk	phyòγùk			6	p h y ò + γ ù k
20	Proto-Burmish	ant	PB	6	γwaʔ	γwaʔ			6	 + γ w a ʔ
21	Rangoon	ant	Spoken Burmese	6	păyweʔ	păyweʔ			6	p ă y + w e ʔ
22	Atsi	ant (flying)	Atsi	7	pàulú	pàulú	Lisu: FT		7	p à u + l ú
23	Lisu	ant (flying)	Lisu	7	boʔlô	boʔlô	Lisu: FT		7	b o + ʔ l ô
24	Proto-Burmish	ant (flying)	PB	7	lu¹ᵇ	lu¹ᵇ	Lisu: FT		7	l u ¹ᵇ
25	Rangoon	ant (flying)	Spoken Burmese	7	pălú	pălú	Lisu: FT		7	p ă + l ú
26	Atsi	antelope	Atsi	8	yò	yò	PB: At		8	y ò
27	Lisu	antelope	Lisu	8	hyà	hyà	PB: At		8	h y à
28	Proto-Burmish	antelope	PB	8	ya²	ya²	PB: At		8	ya ²
29	Proto-Lolo	antelope	PL	8	hya²	hya²	PB: At		8	h ya ²
30	Proto-Lolo-Burmese	antelope	PLB	8	hya²	hya²	PB: At		8	h ya ²
31	Proto-Burmish	anvil	PB	9	pei¹	pei¹	PB: Bu; PL: La		9	p ei ¹
32	Proto-Lolo	anvil	PL	9	bi¹	bi¹	PB: Bu; PL: La		9	b i ¹
33	Proto-Lolo-Burmese	anvil	PLB	9	pei¹	pei¹	PB: Bu; PL: La		9	p ei ¹
34	Rangoon	anvil	Spoken Burmese	9	péi	péi	PB: Bu; PL: La		9	p é i
35	Atsi	arrow	Atsi	10	myò	myò	BSB: A; PL: Li		10	m y ò
36	Lisu	arrow	Lisu	10	myà	myà	BSB: A; PL: Li		10	m y à
37	Maru	arrow	Maru	10	myō	myō	BSB: A; PL: Li		10	m y ō
38	Proto-Burmish	arrow	PB	10	mya²	mya²	BSB: A; PL: Li		10	m ya ²
39	Proto-Lolo	arrow	PL	10	mya²	mya²	BSB: A; PL: Li		10	m ya ²
40	Proto-Lolo-Burmese	arrow	PLB	10	mya²	mya²	BSB: A; PL: Li		10	m ya ²
41	Rangoon	arrow	Spoken Burmese	10	hmyâ	hmyâ	BSB: A; PL: Li		10	h m y â
42	Akha	ascend	Akha	11	dāʔ	dāʔ			11	d ā ʔ
43	Atsi	ascend	Atsi	11	toʔ	toʔ			11	t o ʔ
44	Lisu	ascend	Lisu	11	dæ̂	dæ̂			11	d æ̂
45	Maru	ascend	Maru	11	tòʔ	tòʔ			11	t ò ʔ
46	Proto-Burmish	ascend	PB	11	taʔ	taʔ			11	t a ʔ
47	Proto-Lolo	ascend	PL	11	daʔ²	daʔ²			11	d a ʔ ²
48	Proto-Lolo-Burmese	ascend	PLB	11	taʔ²	taʔ²			11	t a ʔ ²
49	Rangoon	ascend	Spoken Burmese	11	teʔ	teʔ			11	t e ʔ
50	Atsi	ashamed	Atsi	12	hoʔ	hoʔ			12	h o ʔ
51	Maru	ashamed	Maru	12	γoʔ	γoʔ			12	 + γ o ʔ
52	Proto-Burmish	ashamed	PB	12	haʔ	haʔ			12	h a ʔ
53	Rangoon	ashamed	Spoken Burmese	12	šeʔ	šeʔ			12	š e ʔ
54	Atsi	ashes	Atsi	13	mìvap	mìvap	PB: CB		13	m ì + v a p
55	Maru	ashes	Maru	13	mīγàp	mīγàp	PB: CB		13	m ī + γ à p
56	Proto-Burmish	ashes	PB	13	pγV	pγV	PB: CB		13	p γ V
57	Rangoon	ashes	Spoken Burmese	13	pyà	pyà	PB: CB		13	p y à
58	Atsi	ask for	Atsi	14	túŋ	túŋ			14	t ú ŋ
59	Proto-Burmish	ask for	PB	14	toŋ²	toŋ²			14	t o ŋ ²
60	Rangoon	ask for	Spoken Burmese	14	tâun	tâun			14	t â u n
61	Akha	ask, question	Akha	15	náhà	náhà			15	n á + h à
62	Lisu	ask, question	Lisu	15	nânyî	nânyî			15	n â + n y î
63	Proto-Lolo	ask, question	PL	15	nʔa¹	nʔa¹			15	n ʔ a ¹
64	Atsi	attach	Atsi	16	tʔap	tʔap	BSB: I		16	t ʔ a p
65	Maru	attach	Maru	16	tʔeʔ	tʔeʔ	BSB: I		16	t ʔ e ʔ
66	Proto-Burmish	attach	PB	16	tʔap	tʔap	BSB: I		16	t ʔ a p
67	Rangoon	attach	Spoken Burmese	16	taʔ	taʔ	BSB: I		16	t a ʔ
68	Atsi	aunt	Atsi	17	mʔyīthāŋ	mʔyīthāŋ			17	m ʔ y ī + t h ā ŋ
69	Maru	aunt	Maru	17	mʔíkàn	mʔíkàn			17	m ʔ í + k à n
70	Proto-Burmish	aunt	PB	17	mʔi³	mʔi³			17	m ʔ i ³
71	Akha	awake	Akha	18	nø̄	nø̄	PB: Bu; PL: La; Akha: T		18	n ø̄
72	Proto-Burmish	awake	PB	18	no²	no²	PB: Bu; PL: La; Akha: T		18	n o ²
73	Proto-Lolo	awake	PL	18	no²	no²	PB: Bu; PL: La; Akha: T		18	n o ²
74	Proto-Lolo-Burmese	awake	PLB	18	no²	no²	PB: Bu; PL: La; Akha: T		18	n o ²
75	Rangoon	awake	Spoken Burmese	18	nôu	nôu	PB: Bu; PL: La; Akha: T		18	n ô u
76	Atsi	awaken	Atsi	19	nʔáu	nʔáu			19	n ʔ áu
77	Maru	awaken	Maru	19	nʔuk	nʔuk			19	n ʔ u k
78	Proto-Burmish	awaken	PB	19	nʔo²	nʔo²			19	n ʔ o ²
79	Rangoon	awaken	Spoken Burmese	19	hnôu	hnôu			19	h n ô u
80	Akha	bamboo	Akha	20	zàʔ	zàʔ	PL: La; Akha: T		20	z à ʔ
81	Atsi	bamboo	Atsi	20	và	và	PL: La; Akha: T		20	v à
82	Maru	bamboo	Maru	20	wō	wō	PL: La; Akha: T		20	w ō
83	Proto-Burmish	bamboo	PB	20	wa²	wa²	PL: La; Akha: T		20	w a ²
84	Proto-Lolo	bamboo	PL	20	wa²	wa²	PL: La; Akha: T		20	w a ²
85	Proto-Lolo-Burmese	bamboo	PLB	20	wa²	wa²	PL: La; Akha: T		20	w a ²
86	Rangoon	bamboo	Spoken Burmese	20	wâ	wâ	PL: La; Akha: T		20	w â
87	Atsi	bamboo shoots	Atsi	21	myik	myik	BSB: AY		21	m yi k
88	Maru	bamboo shoots	Maru	21	màk	màk	BSB: AY		21	m à k
89	Proto-Burmish	bamboo shoots	PB	21	mik	mik	BSB: AY		21	m i k
90	Rangoon	bamboo shoots	Spoken Burmese	21	hmyiʔ	hmyiʔ	BSB: AY		21	h m yi ʔ
91	Atsi	bamboo ties	Atsi	22	nè	nè	BSB: AF; PL: Li; Lahu: FT		22	n è
92	Lisu	bamboo ties	Lisu	22	mānì	mānì	BSB: AF; PL: Li; Lahu: FT		22	m ā + n ì
93	Maru	bamboo ties	Maru	22	nē	nē	BSB: AF; PL: Li; Lahu: FT		22	n ē
94	Proto-Burmish	bamboo ties	PB	22	ne²	ne²	BSB: AF; PL: Li; Lahu: FT		22	n e ²
95	Proto-Lolo	bamboo ties	PL	22	ne²	ne²	BSB: AF; PL: Li; Lahu: FT		22	n e ²
96	Proto-Lolo-Burmese	bamboo ties	PLB	22	ne²	ne²	BSB: AF; PL: Li; Lahu: FT		22	n e ²
97	Rangoon	bamboo ties	Spoken Burmese	22	hnî	hnî	BSB: AF; PL: Li; Lahu: FT		22	h n î
98	Atsi	banyan	Atsi	23	mʔyàŋkáun	mʔyàŋkáun			23	m ʔ y à ŋ + k áu n
99	Maru	banyan	Maru	23	mʔyā	mʔyā			23	m ʔ y ā
100	Proto-Burmish	banyan	PB	23	mʔyaŋ²	mʔyaŋ²			23	m ʔ ya ŋ ²
101	Atsi	bark (cf. tree)	Atsi	24	sikkʔuʔ	sikkʔuʔ			24	s i kk + ʔ u ʔ
102	Proto-Burmish	bark (cf. tree)	PB	24	kʔok	kʔok			24	k ʔ o k
103	Rangoon	bark (cf. tree)	Spoken Burmese	24	khauʔ	khauʔ			24	k h au ʔ
104	Atsi	beads	Atsi	25	vùi	vùi			25	v ù i
105	Maru	beads	Maru	25	γōi	γōi			25	 + γ ō i
106	Proto-Burmish	beads	PB	25	γwe²	γwe²			25	 + γ w e ²
107	Rangoon	beads	Spoken Burmese	25	ywê	ywê			25	y + w ê
108	Lisu	beans	Lisu	26	ánô	ánô			26	á + n ô
109	Proto-Lolo	beans	PL	26	noʔ²	noʔ²			26	n o ʔ ²
110	Lisu	bear	Lisu	27	wɔ̄phà	wɔ̄phà	PL: Li		27	w ɔ̄ + p h à
111	Maru	bear	Maru	27	wìn	wìn	PL: Li		27	w ì n
112	Proto-Burmish	bear	PB	27	wam¹	wam¹	PL: Li		27	w a m ¹
113	Proto-Lolo	bear	PL	27	wam	wam	PL: Li		27	w a m
114	Proto-Lolo-Burmese	bear	PLB	27	wam¹	wam¹	PL: Li		27	w a m ¹
115	Rangoon	bear	Spoken Burmese	27	wún	wún	PL: Li		27	w ú n
116	Akha	bee	Akha	28	bya	bya			28	b ya
117	Atsi	bee	Atsi	28	pyò	pyò			28	p y ò
118	Lisu	bee	Lisu	28	byà	byà			28	b y à
119	Maru	bee	Maru	28	pyō	pyō			28	p y ō
120	Proto-Burmish	bee	PB	28	pya²	pya²			28	p ya ²
121	Proto-Lolo	bee	PL	28	bya²	bya²			28	b ya ²
122	Proto-Lolo-Burmese	bee	PLB	28	pya²	pya²			28	p ya ²
123	Rangoon	bee	Spoken Burmese	28	pyâ	pyâ			28	p y â
124	Atsi	behind	Atsi	29	nûmthāŋ	nûmthāŋ			29	n û m + t h ā ŋ
125	Maru	behind	Maru	29	nʔòŋtháŋ	nʔòŋtháŋ			29	n ʔ ò ŋ + t h á ŋ
126	Proto-Burmish	behind	PB	29	thaŋ³	thaŋ³			29	t h a ŋ ³
127	Akha	below	Akha	30	làʔɔ̄ʔ	làʔɔ̄ʔ	PB: Bu; PL: Ak; Akha: 'down'		30	l à + ʔ ɔ̄ ʔ
128	Proto-Burmish	below	PB	30	ok	ok	PB: Bu; PL: Ak; Akha: 'down'		30	o k
129	Proto-Lolo	below	PL	30	oʔ²	oʔ²	PB: Bu; PL: Ak; Akha: 'down'		30	o ʔ ²
130	Proto-Lolo-Burmese	below	PLB	30	ok²	ok²	PB: Bu; PL: Ak; Akha: 'down'		30	o k ²
131	Rangoon	below	Spoken Burmese	30	auʔ	auʔ	PB: Bu; PL: Ak; Akha: 'down'		30	au ʔ
132	Atsi	bet	Atsi	31	lôŋ	lôŋ	Atsi: FT		31	l ô ŋ
133	Maru	bet	Maru	31	lòŋ	lòŋ	Atsi: FT		31	l ò ŋ
134	Proto-Burmish	bet	PB	31	loŋ²ᶜ	loŋ²ᶜ	Atsi: FT		31	l o ŋ ²ᶜ
135	Rangoon	bet	Spoken Burmese	31	lâun	lâun	Atsi: FT		31	l â u n
136	Atsi	between	Atsi	32	kyòrò	kyòrò	PL: La	BSB: parentheses without explanation	32	k y ò + r ò
137	Maru	between	Maru	32	ăkyō	ăkyō	PL: La	BSB: parentheses without explanation	32	ă + k y ō
138	Proto-Burmish	between	PB	32	kya²	kya²	PL: La	BSB: parentheses without explanation	32	k ya ²
139	Proto-Lolo	between	PL	32	g̯a²	g̯a²	PL: La	BSB: parentheses without explanation	32	g̯ a ²
140	Proto-Lolo-Burmese	between	PLB	32	kya²	kya²	PL: La	BSB: parentheses without explanation	32	k ya ²
141	Rangoon	between	Spoken Burmese	32	jâ	jâ	PL: La	BSB: parentheses without explanation	32	j â
142	Maru	big	Maru	33	γī	γī	PB: C		33	 + γ ī
143	Proto-Burmish	big	PB	33	kγi²	kγi²	PB: C		33	k γ i ²
144	Rangoon	big	Spoken Burmese	33	cî	cî	PB: C		33	c î
145	Atsi	bird	Atsi	34	ŋʔoʔ	ŋʔoʔ	PL: La; Lisu: IT		34	ŋ ʔ o ʔ
146	Lisu	bird	Lisu	34	nyǎ	nyǎ	PL: La; Lisu: IT		34	n y ǎ
147	Maru	bird	Maru	34	ŋʔoʔ	ŋʔoʔ	PL: La; Lisu: IT		34	ŋ ʔ o ʔ
148	Proto-Burmish	bird	PB	34	ʔaʔ	ʔaʔ	PL: La; Lisu: IT		34	ʔ a ʔ
149	Proto-Lolo	bird	PL	34	ŋʔaʔ²	ŋʔaʔ²	PL: La; Lisu: IT		34	ŋ ʔ a ʔ ²
150	Proto-Lolo-Burmese	bird	PLB	34	ʔaʔ²	ʔaʔ²	PL: La; Lisu: IT		34	ʔ a ʔ ²
151	Rangoon	bird	Spoken Burmese	34	hŋeʔ	hŋeʔ	PL: La; Lisu: IT		34	h ŋ e ʔ
152	Akha	bitter	Akha	35	yɔ̄xà	yɔ̄xà	Maru: T		35	yɔ̄ + x à
153	Atsi	bitter	Atsi	35	khó	khó	Maru: T		35	k h ó
154	Lisu	bitter	Lisu	35	khwà	khwà	Maru: T		35	k h w à
155	Maru	bitter	Maru	35	khó	khó	Maru: T		35	k h ó
156	Proto-Burmish	bitter	PB	35	kha²	kha²	Maru: T		35	k h a ²
157	Proto-Lolo	bitter	PL	35	ḳha²	ḳha²	Maru: T		35	ḳ h a ²
158	Proto-Lolo-Burmese	bitter	PLB	35	kha²	kha²	Maru: T		35	k h a ²
159	Rangoon	bitter	Spoken Burmese	35	khâ	khâ	Maru: T		35	k h â
160	Akha	black	Akha	36	yɔ̄nāʔ	yɔ̄nāʔ			36	yɔ̄ + n ā ʔ
161	Atsi	black	Atsi	36	noʔ	noʔ			36	n o ʔ
162	Lisu	black	Lisu	36	yínæ̂	yínæ̂			36	yí + n æ̂
163	Maru	black	Maru	36	nòʔ	nòʔ			36	n ò ʔ
164	Proto-Burmish	black	PB	36	naʔ	naʔ			36	n a ʔ
165	Proto-Lolo	black	PL	36	naʔ²	naʔ²			36	n a ʔ ²
166	Proto-Lolo-Burmese	black	PLB	36	naʔ²	naʔ²			36	n a ʔ ²
167	Rangoon	black	Spoken Burmese	36	neʔ	neʔ			36	n e ʔ
168	Akha	blood	Akha	37	šì	šì			37	š ì
169	Atsi	blood	Atsi	37	sùi	sùi			37	s ù i
170	Lisu	blood	Lisu	37	šù̸	šù̸			37	š ù̸
171	Maru	blood	Maru	37	sā	sā			37	s ā
172	Proto-Burmish	blood	PB	37	swei²	swei²			37	s w ei ²
173	Proto-Lolo	blood	PL	37	sei²	sei²			37	s ei ²
174	Proto-Lolo-Burmese	blood	PLB	37	swei²	swei²			37	s w ei ²
175	Rangoon	blood	Spoken Burmese	37	θwêi	θwêi			37	θ w ê i
176	Atsi	blow (with mouth)	Atsi	38	mut	mut	BSB: A		38	m u t
177	Lisu	blow (with mouth)	Lisu	38	mû̸	mû̸	BSB: A		38	m û̸
178	Maru	blow (with mouth)	Maru	38	màt	màt	BSB: A		38	m à t
179	Proto-Burmish	blow (with mouth)	PB	38	mut	mut	BSB: A		38	m u t
180	Proto-Lolo	blow (with mouth)	PL	38	mut²	mut²	BSB: A		38	m u t ²
181	Proto-Lolo-Burmese	blow (with mouth)	PLB	38	mut²	mut²	BSB: A		38	m u t ²
182	Rangoon	blow (with mouth)	Spoken Burmese	38	hmouʔ	hmouʔ	BSB: A		38	h m ou ʔ
183	Akha	blunt	Akha	39	yɔ̄dm̀	yɔ̄dm̀			39	yɔ̄ d m̀
184	Atsi	blunt	Atsi	39	túm	túm			39	t ú m
185	Lisu	blunt	Lisu	39	dùlē	dùlē			39	d ù + l ē
186	Maru	blunt	Maru	39	tām	tām			39	t ā m
187	Proto-Burmish	blunt	PB	39	tum²	tum²			39	t u m ²
188	Proto-Lolo	blunt	PL	39	dum²	dum²			39	d u m ²
189	Proto-Lolo-Burmese	blunt	PLB	39	tum²	tum²			39	t u m ²
190	Rangoon	blunt	Spoken Burmese	39	tôun	tôun			39	t ô u n
191	Atsi	boat	Atsi	40	lʔái	lʔái	PL: Li		40	l ʔ ái
192	Lisu	boat	Lisu	40	lî	lî	PL: Li		40	l î
193	Maru	boat	Maru	40	lʔà	lʔà	PL: Li		40	l ʔ à
194	Proto-Burmish	boat	PB	40	lʔei¹ᵇ	lʔei¹ᵇ	PL: Li		40	l ʔ ei ¹ᵇ
195	Proto-Lolo	boat	PL	40	lʔei¹	lʔei¹	PL: Li		40	l ʔ ei ¹
196	Proto-Lolo-Burmese	boat	PLB	40	lʔei¹ᵇ	lʔei¹ᵇ	PL: Li		40	l ʔ ei ¹ᵇ
197	Rangoon	boat	Spoken Burmese	40	hléi	hléi	PL: Li		40	h l é i
198	Atsi	boil	Atsi	41	tsʔû	tsʔû	PL: Li		41	t s + ʔ û
199	Lisu	boil	Lisu	41	tsû	tsû	PL: Li		41	t s û
200	Maru	boil	Maru	41	tsʔàu	tsʔàu	PL: Li		41	t s + ʔ à u
201	Proto-Burmish	boil	PB	41	tsʔu¹ᵃ	tsʔu¹ᵃ	PL: Li		41	t s + ʔ u ¹ᵃ
202	Proto-Lolo	boil	PL	41	tsu¹	tsu¹	PL: Li		41	t s u ¹
203	Proto-Lolo-Burmese	boil	PLB	41	tsʔu¹ᵃ	tsʔu¹ᵃ	PL: Li		41	t s + ʔ u ¹ᵃ
204	Rangoon	boil	Spoken Burmese	41	shú	shú	PL: Li		41	s h ú
205	Akha	bone	Akha	42	šàyø̀	šàyø̀	PL: Ak; Lahu: T		42	š à yø̀
206	Atsi	bone	Atsi	42	šòvùi	šòvùi	PL: Ak; Lahu: T		42	š ò + v ù i
207	Maru	bone	Maru	42	šăγùk	šăγùk	PL: Ak; Lahu: T		42	š ă + γ ù k
208	Proto-Burmish	bone	PB	42	γo²	γo²	PL: Ak; Lahu: T		42	 + γ o ²
209	Proto-Lolo	bone	PL	42	γo²	γo²	PL: Ak; Lahu: T		42	 + γ o ²
210	Proto-Lolo-Burmese	bone	PLB	42	γo²	γo²	PL: Ak; Lahu: T		42	 + γ o ²
211	Rangoon	bone	Spoken Burmese	42	ăyôu	ăyôu	PL: Ak; Lahu: T		42	ă y ô u
212	Akha	born	Akha	43	bɔ̄	bɔ̄			43	b ɔ̄
213	Proto-Lolo	born	PL	43	bɔ³	bɔ³			43	b ɔ ³
214	Akha	borrow-1	Akha	44	ŋà	ŋà			44	ŋ à
215	Atsi	borrow-1	Atsi	44	ŋʔó	ŋʔó			44	ŋ ʔ ó
216	Lisu	borrow-1	Lisu	44	ŋwá	ŋwá			44	ŋ w á
217	Maru	borrow-1	Maru	44	ŋʔō	ŋʔō			44	ŋ ʔ ō
218	Proto-Burmish	borrow-1	PB	44	ŋʔa²	ŋʔa²			44	ŋ ʔ a ²
219	Proto-Lolo	borrow-1	PL	44	ŋʔa²	ŋʔa²			44	ŋ ʔ a ²
220	Proto-Lolo-Burmese	borrow-1	PLB	44	ŋʔa²	ŋʔa²			44	ŋ ʔ a ²
221	Rangoon	borrow-1	Spoken Burmese	44	hŋâ	hŋâ			44	h ŋ â
222	Atsi	borrow-2	Atsi	45	cʔí	cʔí			45	c ʔ í
223	Proto-Burmish	borrow-2	PB	45	cʔi²	cʔi²			45	c ʔ i ²
224	Rangoon	borrow-2	Spoken Burmese	45	chî	chî			45	c h î
225	Atsi	brains	Atsi	46	ùnuʔ	ùnuʔ	BSB: A		46	ù + n u ʔ
226	Maru	brains	Maru	46	āunòk	āunòk	BSB: A		46	ā u + n ò k
227	Proto-Burmish	brains	PB	46	nok	nok	BSB: A		46	n o k
228	Rangoon	brains	Spoken Burmese	46	hnauʔ	hnauʔ	BSB: A		46	h n au ʔ
229	Atsi	branch	Atsi	47	ăkʔoʔ	ăkʔoʔ			47	ă k + ʔ o ʔ
230	Maru	branch	Maru	47	ăkʔoʔ	ăkʔoʔ			47	ă k + ʔ o ʔ
231	Proto-Burmish	branch	PB	47	kʔaʔ	kʔaʔ			47	k ʔ a ʔ
232	Rangoon	branch	Spoken Burmese	47	ăkheʔ	ăkheʔ			47	ă + k h e ʔ
233	Atsi	brave	Atsi	48	vām	vām			48	v ā m
234	Proto-Burmish	brave	PB	48	wam³	wam³			48	w a m ³
235	Rangoon	brave	Spoken Burmese	48	wùn	wùn			48	w ù n
236	Atsi	break	Atsi	49	khyúi	khyúi	Maru: G		49	k h yúi
237	Maru	break	Maru	49	khyúʔ	khyúʔ	Maru: G		49	k h yú ʔ
238	Proto-Burmish	break	PB	49	khyo²	khyo²	Maru: G		49	k h yo ²
239	Rangoon	break	Spoken Burmese	49	chôu	chôu	Maru: G		49	c h ô u
240	Atsi	breast	Atsi	50	nāu	nāu	BSB: 'milk'		50	n ā u
241	Maru	breast	Maru	50	núkàm	núkàm	BSB: 'milk'		50	n ú + k à m
242	Proto-Burmish	breast	PB	50	no³	no³	BSB: 'milk'		50	n o ³
243	Rangoon	breast	Spoken Burmese	50	nòu	nòu	BSB: 'milk'		50	n ò u
244	Atsi	breathe	Atsi	51	soɂ	soɂ			51	s o ɂ
245	Maru	breathe	Maru	51	sóʔšè	sóʔšè			51	s ó + ʔ š è
246	Proto-Burmish	breathe	PB	51	saʔ	saʔ			51	s a ʔ
247	Rangoon	breathe	Spoken Burmese	51	ăθeʔ	ăθeʔ			51	ă + θ e ʔ
248	Akha	bridge	Akha	52	lɔ́dzḿ	lɔ́dzḿ			52	l ɔ́ + d z ḿ
249	Atsi	bridge	Atsi	52	tsâm	tsâm			52	t s â m
250	Maru	bridge	Maru	52	tsìn	tsìn			52	t s ì n
251	Proto-Burmish	bridge	PB	52	tsam¹ᵃ	tsam¹ᵃ			52	t s a m ¹ᵃ
252	Proto-Lolo	bridge	PL	52	dzam¹	dzam¹			52	d z a m ¹
253	Proto-Lolo-Burmese	bridge	PLB	52	tsam¹ᵃ	tsam¹ᵃ			52	t s a m ¹ᵃ
254	Atsi	buffalo (water)	Atsi	53	nòlùi	nòlùi	PB: C		53	n ò + l ù i
255	Maru	buffalo (water)	Maru	53	nūŋlōi	nūŋlōi	PB: C		53	n ū + ŋ l ō i
256	Proto-Burmish	buffalo (water)	PB	53	klwe²	klwe²	PB: C		53	k l w e ²
257	Rangoon	buffalo (water)	Spoken Burmese	53	cwê	cwê	PB: C		53	c w ê
258	Atsi	build	Atsi	54	tsʔuʔ	tsʔuʔ			54	t s + ʔ u ʔ
259	Proto-Burmish	build	PB	54	tsʔok	tsʔok			54	t s + ʔ o k
260	Rangoon	build	Spoken Burmese	54	shauʔ	shauʔ			54	s h au ʔ
261	Akha	buy	Akha	55	zé̸	zé̸	Maru, Lisu: F; Akha: IF		55	z é̸
262	Atsi	buy	Atsi	55	vûi	vûi	Maru, Lisu: F; Akha: IF		55	v û i
263	Lisu	buy	Lisu	55	wū	wū	Maru, Lisu: F; Akha: IF		55	w ū
264	Maru	buy	Maru	55	wài	wài	Maru, Lisu: F; Akha: IF		55	w à i
265	Proto-Burmish	buy	PB	55	we¹ᵃ	we¹ᵃ	Maru, Lisu: F; Akha: IF		55	w e ¹ᵃ
266	Proto-Lolo	buy	PL	55	wə¹	wə¹	Maru, Lisu: F; Akha: IF		55	w ə ¹
267	Proto-Lolo-Burmese	buy	PLB	55	we¹ᵃ	we¹ᵃ	Maru, Lisu: F; Akha: IF		55	w e ¹ᵃ
268	Rangoon	buy	Spoken Burmese	55	wé	wé	Maru, Lisu: F; Akha: IF		55	w é
269	Akha	call	Akha	56	kú	kú	Lahu: IT		56	k ú
270	Lisu	call	Lisu	56	khū	khū	Lahu: IT		56	k h ū
271	Proto-Lolo	call	PL	56	k̯hu¹	k̯hu¹	Lahu: IT		56	k̯ h u ¹
272	Atsi	carry on back	Atsi	57	páu	páu	PL: La		57	p áu
273	Proto-Burmish	carry on back	PB	57	po²	po²	PL: La		57	p o ²
274	Proto-Lolo	carry on back	PL	57	bo²	bo²	PL: La		57	b o ²
275	Proto-Lolo-Burmese	carry on back	PLB	57	po²	po²	PL: La		57	p o ²
276	Rangoon	carry on back	Spoken Burmese	57	pôu	pôu	PL: La		57	p ô u
277	Atsi	carry on shoulder	Atsi	58	vaʔ	vaʔ			58	v a ʔ
278	Maru	carry on shoulder	Maru	58	wòʔ	wòʔ			58	w ò ʔ
279	Proto-Burmish	carry on shoulder	PB	58	waʔ	waʔ			58	w a ʔ
280	Atsi	cat	Atsi	59	vûŋ	vûŋ	PB: CB		59	v û ŋ
281	Proto-Burmish	cat	PB	59	kγV¹ᵃ	kγV¹ᵃ	PB: CB		59	k γ V ¹ᵃ
282	Rangoon	cat	Spoken Burmese	59	cáun	cáun	PB: CB		59	c áu n
